# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0989,0.0081,0.0011,0.0989,0.0081,0.0011
0.1697,0.0813,0.0115,0.1697,0.0813,0.0115
0.4700,0.3838,0.0543,0.4700,0.3838,0.0543
0.4808,0.3835,0.0542,0.5687,0.3944,0.0558
0.4091,0.3541,0.0501,0.5847,0.3935,0.0556
0.4354,0.3678,0.0520,0.6159,0.3912,0.0553
0.4302,0.3622,0.0512,0.6175,0.3927,0.0555
0.4238,0.3695,0.0523,0.6175,0.3927,0.0555
0.3356,0.3124,0.0442,0.6175,0.3927,0.0555
0.4228,0.3696,0.0523,0.6201,0.3948,0.0558
0.4169,0.3522,0.0498,0.6201,0.3948,0.0558
0.4582,0.3789,0.0536,0.6211,0.3938,0.0557
0.4397,0.3682,0.0521,0.6231,0.3915,0.0554
0.4101,0.3564,0.0504,0.6231,0.3915,0.0554
0.5455,0.3859,0.0546,0.6310,0.3872,0.0548
0.4983,0.3857,0.0545,0.6434,0.3831,0.0542
0.4710,0.3765,0.0532,0.6434,0.3831,0.0542
0.5143,0.3882,0.0549,0.6434,0.3831,0.0542
0.5434,0.4054,0.0573,0.6534,0.3857,0.0545
0.4650,0.3794,0.0537,0.6534,0.3857,0.0545
0.4344,0.3526,0.0499,0.6553,0.3860,0.0546
0.4223,0.3516,0.0497,0.6572,0.3874,0.0548
0.4779,0.3802,0.0538,0.6572,0.3874,0.0548
0.5132,0.3926,0.0555,0.6572,0.3874,0.0548
0.5348,0.3914,0.0553,0.6716,0.3834,0.0542
0.4782,0.3793,0.0536,0.6716,0.3834,0.0542
0.4868,0.3757,0.0531,0.6716,0.3834,0.0542
0.4749,0.3805,0.0538,0.6716,0.3834,0.0542
0.5103,0.4012,0.0567,0.6874,0.3800,0.0537
0.4806,0.3801,0.0538,0.6874,0.3800,0.0537
0.4942,0.3866,0.0547,0.6874,0.3800,0.0537
0.5042,0.3912,0.0553,0.6882,0.3790,0.0536
0.4675,0.3842,0.0543,0.6882,0.3790,0.0536
0.5073,0.3846,0.0544,0.6882,0.3790,0.0536
0.4475,0.3799,0.0537,0.6882,0.3790,0.0536
0.5766,0.3884,0.0549,0.7041,0.3748,0.0530
0.5040,0.3818,0.0540,0.7041,0.3748,0.0530
0.4927,0.3858,0.0546,0.7041,0.3748,0.0530
0.4950,0.3821,0.0540,0.7041,0.3748,0.0530
0.5487,0.3964,0.0561,0.7041,0.3748,0.0530
