# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0575,0.0662,0.0094,0.0575,0.0662,0.0094
0.1790,0.2491,0.0352,0.2010,0.2373,0.0336
0.3237,0.3399,0.0481,0.3967,0.3569,0.0505
0.4435,0.4001,0.0566,0.5479,0.4061,0.0574
0.4148,0.3749,0.0530,0.6086,0.3907,0.0553
0.4819,0.4189,0.0592,0.6937,0.3784,0.0535
0.4856,0.3999,0.0566,0.7293,0.3666,0.0518
0.4169,0.3713,0.0525,0.7443,0.3620,0.0512
0.4303,0.3894,0.0551,0.7443,0.3620,0.0512
0.4990,0.4240,0.0600,0.7443,0.3620,0.0512
0.4658,0.4049,0.0573,0.7517,0.3565,0.0504
0.3997,0.3722,0.0526,0.7517,0.3565,0.0504
0.3961,0.3464,0.0490,0.7517,0.3565,0.0504
0.5214,0.4245,0.0600,0.7692,0.3466,0.0490
0.5096,0.4214,0.0596,0.7738,0.3411,0.0482
0.5165,0.4080,0.0577,0.7888,0.3342,0.0473
0.5260,0.4178,0.0591,0.7888,0.3342,0.0473
0.5104,0.4058,0.0574,0.8038,0.3264,0.0462
0.5257,0.4130,0.0584,0.8188,0.3178,0.0449
0.5473,0.3903,0.0552,0.8200,0.3164,0.0447
0.4838,0.3976,0.0562,0.8200,0.3164,0.0447
0.4735,0.3825,0.0541,0.8220,0.3146,0.0445
0.5228,0.4179,0.0591,0.8220,0.3146,0.0445
0.5390,0.4108,0.0581,0.8220,0.3146,0.0445
0.4854,0.3982,0.0563,0.8220,0.3146,0.0445
0.5048,0.3911,0.0553,0.8220,0.3146,0.0445
0.5757,0.4045,0.0572,0.8370,0.3047,0.0431
0.5245,0.3872,0.0548,0.8370,0.3047,0.0431
0.4345,0.3746,0.0530,0.8420,0.2927,0.0414
0.4974,0.3872,0.0548,0.8420,0.2927,0.0414
0.4784,0.4145,0.0586,0.8420,0.2927,0.0414
0.4920,0.4073,0.0576,0.8420,0.2927,0.0414
0.4774,0.3991,0.0564,0.8420,0.2927,0.0414
0.4568,0.3747,0.0530,0.8420,0.2927,0.0414
0.5643,0.4017,0.0568,0.8445,0.2871,0.0406
0.5168,0.4136,0.0585,0.8445,0.2871,0.0406
0.4884,0.4122,0.0583,0.8445,0.2871,0.0406
0.5455,0.4273,0.0604,0.8445,0.2871,0.0406
0.5252,0.4054,0.0573,0.8492,0.2846,0.0402
0.5333,0.4000,0.0566,0.8492,0.2846,0.0402
0.5017,0.3923,0.0555,0.8492,0.2846,0.0402
0.4310,0.3919,0.0554,0.8492,0.2846,0.0402
0.6171,0.4190,0.0593,0.8624,0.2715,0.0384
0.5282,0.3833,0.0542,0.8624,0.2715,0.0384
0.4957,0.3987,0.0564,0.8624,0.2715,0.0384
0.5169,0.3905,0.0552,0.8624,0.2715,0.0384
0.6019,0.4137,0.0585,0.8624,0.2715,0.0384
0.4941,0.3793,0.0536,0.8633,0.2710,0.0383
0.5333,0.3914,0.0554,0.8633,0.2710,0.0383
0.5207,0.4133,0.0585,0.8633,0.2710,0.0383
0.4764,0.3930,0.0556,0.8633,0.2710,0.0383
0.5508,0.3977,0.0562,0.8633,0.2710,0.0383
0.5998,0.3839,0.0543,0.8633,0.2710,0.0383
0.5210,0.4187,0.0592,0.8633,0.2710,0.0383
0.4920,0.4128,0.0584,0.8633,0.2710,0.0383
0.4874,0.3920,0.0554,0.8633,0.2710,0.0383
0.4675,0.3866,0.0547,0.8633,0.2710,0.0383
0.4664,0.3831,0.0542,0.8633,0.2710,0.0383
0.5402,0.4023,0.0569,0.8633,0.2710,0.0383
0.4957,0.3794,0.0537,0.8633,0.2710,0.0383
0.4707,0.3839,0.0543,0.8633,0.2710,0.0383
0.4811,0.3744,0.0530,0.8633,0.2710,0.0383
0.5393,0.4048,0.0572,0.8633,0.2710,0.0383
0.5138,0.4027,0.0569,0.8633,0.2710,0.0383
