# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0572,0.0565,0.0080,0.0572,0.0565,0.0080
0.0970,0.0580,0.0082,0.1153,0.0409,0.0058
0.1473,0.1883,0.0266,0.1670,0.1783,0.0252
0.1162,0.1497,0.0212,0.1723,0.1785,0.0252
0.1479,0.1993,0.0282,0.2087,0.2090,0.0296
0.1451,0.1505,0.0213,0.2186,0.2073,0.0293
0.1280,0.1689,0.0239,0.2299,0.2081,0.0294
0.1312,0.1553,0.0220,0.2374,0.2065,0.0292
0.1287,0.1586,0.0224,0.2388,0.2059,0.0291
0.1307,0.1556,0.0220,0.2421,0.2051,0.0290
0.1416,0.1992,0.0282,0.2630,0.2277,0.0322
0.1286,0.1979,0.0280,0.2637,0.2273,0.0321
0.1268,0.1585,0.0224,0.2675,0.2258,0.0319
0.1237,0.1587,0.0224,0.2712,0.2245,0.0318
0.1514,0.2320,0.0328,0.2723,0.2243,0.0317
0.1166,0.1547,0.0219,0.2750,0.2232,0.0316
0.1187,0.1630,0.0231,0.2803,0.2223,0.0314
0.0981,0.0972,0.0137,0.2828,0.2213,0.0313
0.1011,0.1119,0.0158,0.2856,0.2204,0.0312
0.1205,0.1572,0.0222,0.2856,0.2204,0.0312
0.1508,0.2010,0.0284,0.2856,0.2204,0.0312
0.0953,0.0996,0.0141,0.2856,0.2204,0.0312
0.1242,0.2014,0.0285,0.2856,0.2204,0.0312
0.1315,0.2020,0.0286,0.2873,0.2198,0.0311
0.1140,0.1605,0.0227,0.2873,0.2198,0.0311
0.1409,0.2348,0.0332,0.2873,0.2198,0.0311
0.1087,0.1599,0.0226,0.2876,0.2197,0.0311
0.1184,0.2020,0.0286,0.2876,0.2197,0.0311
0.1006,0.0969,0.0137,0.2882,0.2193,0.0310
0.1466,0.1991,0.0282,0.2885,0.2192,0.0310
0.1128,0.1599,0.0226,0.2903,0.2184,0.0309
0.1174,0.1605,0.0227,0.2903,0.2184,0.0309
0.1191,0.1012,0.0143,0.2903,0.2184,0.0309
0.1104,0.1607,0.0227,0.2903,0.2184,0.0309
0.0922,0.1554,0.0220,0.2903,0.2184,0.0309
0.1294,0.1688,0.0239,0.2903,0.2184,0.0309
0.1376,0.2015,0.0285,0.2903,0.2184,0.0309
0.1214,0.2019,0.0286,0.2928,0.2172,0.0307
0.1034,0.1705,0.0241,0.2928,0.2172,0.0307
0.1002,0.1597,0.0226,0.2928,0.2172,0.0307
0.1337,0.1998,0.0283,0.2928,0.2172,0.0307
0.1473,0.2014,0.0285,0.2969,0.2148,0.0304
0.1055,0.1691,0.0239,0.2969,0.2148,0.0304
0.1194,0.2044,0.0289,0.2969,0.2148,0.0304
0.1049,0.2071,0.0293,0.2969,0.2148,0.0304
0.1218,0.1613,0.0228,0.2969,0.2148,0.0304
0.1223,0.2037,0.0288,0.2980,0.2144,0.0303
0.1445,0.2020,0.0286,0.2980,0.2144,0.0303
0.1324,0.2013,0.0285,0.2980,0.2144,0.0303
0.1267,0.2025,0.0286,0.2980,0.2144,0.0303
0.1123,0.1091,0.0154,0.2980,0.2144,0.0303
0.0942,0.0967,0.0137,0.2980,0.2144,0.0303
0.1120,0.1039,0.0147,0.2980,0.2144,0.0303
0.0972,0.1031,0.0146,0.2983,0.2143,0.0303
0.0996,0.1612,0.0228,0.2990,0.2140,0.0303
0.1080,0.1431,0.0202,0.2990,0.2140,0.0303
0.1093,0.1621,0.0229,0.2990,0.2140,0.0303
0.1164,0.1612,0.0228,0.3015,0.2127,0.0301
0.1142,0.1639,0.0232,0.3015,0.2127,0.0301
0.0823,0.1113,0.0157,0.3015,0.2127,0.0301
0.1226,0.2054,0.0290,0.3015,0.2127,0.0301
0.0933,0.1040,0.0147,0.3015,0.2127,0.0301
0.1211,0.2027,0.0287,0.3015,0.2127,0.0301
0.1056,0.1584,0.0224,0.3015,0.2127,0.0301
0.1165,0.2026,0.0287,0.3015,0.2127,0.0301
0.1345,0.2148,0.0304,0.3165,0.2339,0.0331
0.0972,0.1598,0.0226,0.3165,0.2339,0.0331
0.1023,0.1654,0.0234,0.3170,0.2337,0.0330
0.1142,0.1613,0.0228,0.3320,0.2522,0.0357
0.1055,0.1593,0.0225,0.3359,0.2489,0.0352
0.1024,0.1171,0.0166,0.3364,0.2488,0.0352
0.1031,0.1610,0.0228,0.3364,0.2488,0.0352
0.1324,0.2104,0.0298,0.3376,0.2494,0.0353
0.0982,0.1625,0.0230,0.3376,0.2494,0.0353
0.1372,0.2381,0.0337,0.3376,0.2494,0.0353
0.1322,0.1621,0.0229,0.3376,0.2494,0.0353
0.0994,0.1602,0.0227,0.3376,0.2494,0.0353
0.1251,0.1420,0.0201,0.3470,0.2532,0.0358
0.1452,0.2076,0.0294,0.3470,0.2532,0.0358
0.1230,0.2046,0.0289,0.3470,0.2532,0.0358
0.1392,0.2374,0.0336,0.3470,0.2532,0.0358
0.1379,0.2169,0.0307,0.3470,0.2532,0.0358
0.1374,0.2058,0.0291,0.3470,0.2532,0.0358
0.1296,0.2364,0.0334,0.3470,0.2532,0.0358
0.1328,0.1703,0.0241,0.3470,0.2532,0.0358
0.1485,0.2282,0.0323,0.3495,0.2516,0.0356
0.1327,0.2058,0.0291,0.3495,0.2516,0.0356
0.1564,0.2065,0.0292,0.3495,0.2516,0.0356
0.1154,0.2032,0.0287,0.3495,0.2516,0.0356
0.1286,0.2042,0.0289,0.3495,0.2516,0.0356
0.1147,0.1635,0.0231,0.3495,0.2516,0.0356
0.1749,0.2427,0.0343,0.3495,0.2516,0.0356
0.1181,0.2039,0.0288,0.3495,0.2516,0.0356
0.0893,0.0965,0.0137,0.3495,0.2516,0.0356
0.1633,0.2466,0.0349,0.3496,0.2516,0.0356
0.1369,0.2004,0.0283,0.3496,0.2516,0.0356
0.1177,0.1647,0.0233,0.3496,0.2516,0.0356
0.1502,0.2504,0.0354,0.3505,0.2529,0.0358
0.1444,0.2372,0.0335,0.3505,0.2529,0.0358
0.1163,0.2040,0.0289,0.3505,0.2529,0.0358
0.1264,0.1643,0.0232,0.3505,0.2529,0.0358
0.1289,0.1738,0.0246,0.3505,0.2529,0.0358
0.1238,0.1788,0.0253,0.3505,0.2529,0.0358
0.1099,0.1608,0.0227,0.3505,0.2529,0.0358
0.1327,0.2087,0.0295,0.3505,0.2529,0.0358
0.1345,0.2031,0.0287,0.3505,0.2529,0.0358
0.1031,0.1117,0.0158,0.3505,0.2529,0.0358
0.1358,0.2221,0.0314,0.3505,0.2529,0.0358
0.1520,0.2431,0.0344,0.3505,0.2529,0.0358
0.1144,0.1689,0.0239,0.3505,0.2529,0.0358
0.1297,0.1879,0.0266,0.3507,0.2532,0.0358
0.1671,0.2631,0.0372,0.3507,0.2532,0.0358
0.1317,0.2114,0.0299,0.3507,0.2532,0.0358
0.0944,0.1070,0.0151,0.3507,0.2532,0.0358
0.1600,0.2432,0.0344,0.3507,0.2532,0.0358
0.0916,0.1038,0.0147,0.3511,0.2530,0.0358
0.1335,0.2094,0.0296,0.3511,0.2530,0.0358
0.1075,0.2000,0.0283,0.3511,0.2530,0.0358
0.1016,0.1310,0.0185,0.3511,0.2530,0.0358
0.1211,0.1610,0.0228,0.3511,0.2530,0.0358
0.1404,0.2023,0.0286,0.3511,0.2530,0.0358
0.1318,0.2020,0.0286,0.3525,0.2522,0.0357
0.1094,0.1650,0.0233,0.3525,0.2522,0.0357
0.1167,0.1800,0.0254,0.3525,0.2522,0.0357
0.1296,0.2031,0.0287,0.3525,0.2522,0.0357
0.1359,0.2321,0.0328,0.3525,0.2522,0.0357
0.1039,0.1595,0.0226,0.3525,0.2522,0.0357
0.1406,0.2677,0.0379,0.3525,0.2522,0.0357
0.1355,0.2193,0.0310,0.3525,0.2522,0.0357
0.1592,0.2121,0.0300,0.3575,0.2526,0.0357
0.1323,0.1670,0.0236,0.3575,0.2526,0.0357
0.1110,0.2111,0.0299,0.3575,0.2526,0.0357
0.1163,0.1599,0.0226,0.3575,0.2526,0.0357
0.1261,0.2025,0.0286,0.3575,0.2526,0.0357
0.1135,0.1138,0.0161,0.3575,0.2526,0.0357
0.1504,0.2370,0.0335,0.3575,0.2526,0.0357
0.1501,0.2418,0.0342,0.3576,0.2526,0.0357
0.1270,0.1626,0.0230,0.3580,0.2522,0.0357
0.1365,0.2396,0.0339,0.3580,0.2522,0.0357
0.1274,0.1699,0.0240,0.3581,0.2522,0.0357
0.1361,0.2301,0.0325,0.3581,0.2522,0.0357
0.0936,0.1042,0.0147,0.3581,0.2522,0.0357
0.1286,0.1675,0.0237,0.3581,0.2522,0.0357
0.1131,0.1629,0.0230,0.3581,0.2522,0.0357
0.1355,0.2095,0.0296,0.3581,0.2522,0.0357
0.1556,0.1651,0.0233,0.3581,0.2522,0.0357
0.1395,0.2364,0.0334,0.3581,0.2522,0.0357
0.1775,0.2345,0.0332,0.3581,0.2522,0.0357
0.1463,0.2377,0.0336,0.3581,0.2522,0.0357
0.1414,0.2380,0.0337,0.3582,0.2520,0.0356
0.1373,0.2017,0.0285,0.3582,0.2520,0.0356
0.1046,0.1052,0.0149,0.3582,0.2520,0.0356
0.1548,0.2086,0.0295,0.3585,0.2518,0.0356
0.1600,0.2641,0.0373,0.3585,0.2518,0.0356
0.1210,0.1664,0.0235,0.3585,0.2518,0.0356
0.1771,0.2474,0.0350,0.3642,0.2516,0.0356
0.1180,0.2165,0.0306,0.3642,0.2516,0.0356
0.1100,0.1241,0.0175,0.3642,0.2516,0.0356
0.1585,0.2198,0.0311,0.3685,0.2556,0.0362
0.1130,0.1724,0.0244,0.3685,0.2556,0.0362
0.1303,0.2175,0.0308,0.3685,0.2556,0.0362
0.1396,0.2179,0.0308,0.3685,0.2556,0.0362
0.1442,0.2088,0.0295,0.3685,0.2556,0.0362
0.1394,0.2240,0.0317,0.3694,0.2569,0.0363
0.1139,0.1283,0.0181,0.3694,0.2569,0.0363
0.1637,0.2350,0.0332,0.3694,0.2569,0.0363
0.1369,0.1800,0.0255,0.3694,0.2569,0.0363
0.1341,0.1750,0.0247,0.3694,0.2569,0.0363
0.1414,0.2190,0.0310,0.3694,0.2569,0.0363
0.0983,0.1040,0.0147,0.3694,0.2569,0.0363
0.1402,0.2050,0.0290,0.3694,0.2569,0.0363
0.1732,0.2473,0.0350,0.3694,0.2569,0.0363
0.1430,0.2204,0.0312,0.3695,0.2569,0.0363
0.1533,0.2663,0.0377,0.3695,0.2569,0.0363
0.1637,0.2473,0.0350,0.3697,0.2568,0.0363
0.1518,0.1785,0.0252,0.3697,0.2568,0.0363
0.1401,0.2019,0.0285,0.3697,0.2568,0.0363
0.1093,0.1247,0.0176,0.3697,0.2568,0.0363
0.1205,0.2093,0.0296,0.3697,0.2568,0.0363
0.1386,0.2005,0.0284,0.3697,0.2568,0.0363
0.1333,0.1593,0.0225,0.3697,0.2568,0.0363
0.1379,0.2020,0.0286,0.3697,0.2568,0.0363
0.1347,0.2111,0.0299,0.3697,0.2568,0.0363
0.1755,0.2617,0.0370,0.3697,0.2568,0.0363
0.1437,0.2091,0.0296,0.3697,0.2568,0.0363
0.1626,0.2197,0.0311,0.3740,0.2566,0.0363
0.1069,0.1076,0.0152,0.3740,0.2566,0.0363
0.1561,0.2504,0.0354,0.3740,0.2566,0.0363
0.1358,0.2102,0.0297,0.3740,0.2566,0.0363
0.1294,0.1649,0.0233,0.3740,0.2566,0.0363
0.1516,0.2013,0.0285,0.3740,0.2566,0.0363
0.0952,0.1042,0.0147,0.3740,0.2566,0.0363
0.1339,0.2044,0.0289,0.3740,0.2566,0.0363
0.1525,0.2368,0.0335,0.3740,0.2566,0.0363
0.1275,0.2208,0.0312,0.3740,0.2566,0.0363
0.1485,0.2349,0.0332,0.3740,0.2566,0.0363
0.1278,0.1883,0.0266,0.3740,0.2566,0.0363
0.1540,0.2394,0.0339,0.3740,0.2566,0.0363
0.1236,0.2386,0.0337,0.3740,0.2566,0.0363
0.1643,0.2334,0.0330,0.3740,0.2566,0.0363
0.1354,0.1678,0.0237,0.3740,0.2566,0.0363
0.1372,0.1801,0.0255,0.3740,0.2566,0.0363
0.1270,0.2027,0.0287,0.3740,0.2566,0.0363
0.1332,0.2002,0.0283,0.3740,0.2566,0.0363
0.1431,0.2079,0.0294,0.3740,0.2566,0.0363
0.1193,0.1617,0.0229,0.3740,0.2566,0.0363
0.1214,0.1796,0.0254,0.3740,0.2566,0.0363
0.1522,0.2661,0.0376,0.3740,0.2566,0.0363
0.1203,0.2041,0.0289,0.3740,0.2566,0.0363
0.1352,0.2023,0.0286,0.3740,0.2566,0.0363
0.1344,0.1810,0.0256,0.3740,0.2566,0.0363
0.1632,0.2636,0.0373,0.3740,0.2566,0.0363
0.1134,0.1632,0.0231,0.3740,0.2566,0.0363
0.1327,0.2101,0.0297,0.3740,0.2566,0.0363
0.1159,0.1689,0.0239,0.3740,0.2566,0.0363
0.1506,0.2359,0.0334,0.3740,0.2566,0.0363
0.1158,0.2028,0.0287,0.3740,0.2566,0.0363
0.1264,0.1639,0.0232,0.3743,0.2564,0.0363
0.1832,0.2690,0.0380,0.3743,0.2564,0.0363
0.1304,0.1641,0.0232,0.3743,0.2564,0.0363
0.1740,0.2163,0.0306,0.3743,0.2564,0.0363
0.1348,0.2122,0.0300,0.3743,0.2564,0.0363
0.1531,0.2339,0.0331,0.3743,0.2564,0.0363
0.1422,0.1825,0.0258,0.3743,0.2564,0.0363
0.1055,0.1589,0.0225,0.3743,0.2564,0.0363
0.1345,0.2047,0.0290,0.3743,0.2564,0.0363
0.1106,0.1320,0.0187,0.3743,0.2564,0.0363
0.1162,0.1699,0.0240,0.3743,0.2564,0.0363
0.1492,0.2385,0.0337,0.3743,0.2564,0.0363
0.1349,0.2096,0.0296,0.3755,0.2559,0.0362
0.1105,0.1333,0.0188,0.3755,0.2559,0.0362
0.1134,0.1606,0.0227,0.3755,0.2559,0.0362
0.1299,0.1633,0.0231,0.3755,0.2559,0.0362
0.1308,0.2038,0.0288,0.3755,0.2559,0.0362
0.1637,0.2347,0.0332,0.3755,0.2559,0.0362
0.1415,0.2014,0.0285,0.3755,0.2559,0.0362
0.1334,0.2023,0.0286,0.3755,0.2559,0.0362
0.1357,0.2057,0.0291,0.3755,0.2559,0.0362
0.1428,0.2087,0.0295,0.3755,0.2559,0.0362
