# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0996,0.0027,0.0004,0.0996,0.0027,0.0004
0.1540,0.0770,0.0109,0.1540,0.0770,0.0109
0.2976,0.2735,0.0387,0.3096,0.2689,0.0380
0.2851,0.2519,0.0356,0.3998,0.3313,0.0469
0.3583,0.3263,0.0461,0.4800,0.3706,0.0524
0.3635,0.3230,0.0457,0.5231,0.3814,0.0539
0.2754,0.2273,0.0321,0.5453,0.3904,0.0552
0.3533,0.3293,0.0466,0.5618,0.3918,0.0554
0.3245,0.2828,0.0400,0.5618,0.3918,0.0554
0.2832,0.2493,0.0353,0.5618,0.3918,0.0554
0.3776,0.3199,0.0452,0.5817,0.3895,0.0551
0.3158,0.2920,0.0413,0.6146,0.3892,0.0550
0.3769,0.3389,0.0479,0.6147,0.3893,0.0551
0.4561,0.3866,0.0547,0.6147,0.3893,0.0551
0.3950,0.3432,0.0485,0.6254,0.3924,0.0555
0.3384,0.3036,0.0429,0.6274,0.3915,0.0554
0.3239,0.2818,0.0399,0.6274,0.3914,0.0554
0.3934,0.3467,0.0490,0.6590,0.3876,0.0548
0.3554,0.3209,0.0454,0.6590,0.3876,0.0548
0.4290,0.3517,0.0497,0.6590,0.3876,0.0548
0.3116,0.2744,0.0388,0.6590,0.3876,0.0548
0.3209,0.2848,0.0403,0.6590,0.3876,0.0548
0.3766,0.3348,0.0474,0.6650,0.3827,0.0541
0.3694,0.3081,0.0436,0.6650,0.3827,0.0541
0.2774,0.2226,0.0315,0.6795,0.3785,0.0535
0.4187,0.3530,0.0499,0.6795,0.3785,0.0535
0.3627,0.3146,0.0445,0.6795,0.3785,0.0535
0.3916,0.3326,0.0470,0.6795,0.3785,0.0535
0.3835,0.3327,0.0470,0.6835,0.3744,0.0530
0.3422,0.3011,0.0426,0.6835,0.3744,0.0530
0.3825,0.3344,0.0473,0.6835,0.3744,0.0530
0.4067,0.3368,0.0476,0.6879,0.3722,0.0526
0.4254,0.3617,0.0511,0.6879,0.3722,0.0526
0.3672,0.3289,0.0465,0.6879,0.3722,0.0526
0.3754,0.3281,0.0464,0.7024,0.3669,0.0519
0.4257,0.3495,0.0494,0.7084,0.3611,0.0511
0.3764,0.3374,0.0477,0.7204,0.3606,0.0510
0.3625,0.3104,0.0439,0.7206,0.3604,0.0510
0.2962,0.2644,0.0374,0.7206,0.3604,0.0510
0.4412,0.3499,0.0495,0.7289,0.3565,0.0504
0.4518,0.3535,0.0500,0.7289,0.3565,0.0504
0.3788,0.3225,0.0456,0.7289,0.3565,0.0504
0.4379,0.3483,0.0493,0.7290,0.3566,0.0504
0.4211,0.3510,0.0496,0.7290,0.3566,0.0504
0.3660,0.3237,0.0458,0.7290,0.3566,0.0504
0.4460,0.3676,0.0520,0.7387,0.3568,0.0505
0.4322,0.3484,0.0493,0.7531,0.3492,0.0494
0.3918,0.3452,0.0488,0.7531,0.3492,0.0494
0.3587,0.3065,0.0434,0.7531,0.3492,0.0494
0.3753,0.3186,0.0451,0.7531,0.3492,0.0494
0.3706,0.3187,0.0451,0.7531,0.3492,0.0494
0.3543,0.3238,0.0458,0.7531,0.3492,0.0494
0.3544,0.2914,0.0412,0.7531,0.3492,0.0494
0.4051,0.3403,0.0481,0.7531,0.3492,0.0494
0.3387,0.3145,0.0445,0.7531,0.3492,0.0494
0.3280,0.2902,0.0410,0.7531,0.3492,0.0494
0.4052,0.3238,0.0458,0.7531,0.3492,0.0494
0.3987,0.3448,0.0488,0.7531,0.3492,0.0494
0.4012,0.3429,0.0485,0.7531,0.3492,0.0494
0.3313,0.2885,0.0408,0.7531,0.3492,0.0494
0.3581,0.2957,0.0418,0.7531,0.3492,0.0494
0.3576,0.2979,0.0421,0.7531,0.3492,0.0494
0.4376,0.3602,0.0509,0.7531,0.3492,0.0494
0.3797,0.3339,0.0472,0.7531,0.3492,0.0494
0.3232,0.2838,0.0401,0.7531,0.3492,0.0494
0.3539,0.3175,0.0449,0.7531,0.3492,0.0494
0.3489,0.2976,0.0421,0.7542,0.3498,0.0495
0.3700,0.3318,0.0469,0.7642,0.3496,0.0494
0.3704,0.3350,0.0474,0.7642,0.3496,0.0494
0.3441,0.3021,0.0427,0.7642,0.3496,0.0494
0.3938,0.3347,0.0473,0.7642,0.3496,0.0494
0.4327,0.3664,0.0518,0.7642,0.3496,0.0494
0.3892,0.3379,0.0478,0.7642,0.3496,0.0494
0.3189,0.2821,0.0399,0.7642,0.3496,0.0494
0.3522,0.3056,0.0432,0.7645,0.3491,0.0494
0.4531,0.3638,0.0514,0.7645,0.3491,0.0494
0.3420,0.3087,0.0437,0.7645,0.3491,0.0494
0.3966,0.3485,0.0493,0.7645,0.3491,0.0494
0.3552,0.3109,0.0440,0.7645,0.3491,0.0494
0.4138,0.3486,0.0493,0.7645,0.3491,0.0494
0.3792,0.3374,0.0477,0.7645,0.3491,0.0494
0.3116,0.2687,0.0380,0.7645,0.3491,0.0494
0.3469,0.2988,0.0423,0.7645,0.3491,0.0494
0.4507,0.3686,0.0521,0.7645,0.3491,0.0494
0.3794,0.3275,0.0463,0.7645,0.3491,0.0494
0.4461,0.3593,0.0508,0.7645,0.3491,0.0494
0.3618,0.3226,0.0456,0.7645,0.3491,0.0494
0.3520,0.3087,0.0437,0.7645,0.3491,0.0494
0.4252,0.3618,0.0512,0.7662,0.3465,0.0490
0.3782,0.3205,0.0453,0.7662,0.3465,0.0490
0.2902,0.2505,0.0354,0.7662,0.3465,0.0490
0.3438,0.3128,0.0442,0.7662,0.3465,0.0490
0.3777,0.3288,0.0465,0.7662,0.3465,0.0490
0.3952,0.3264,0.0462,0.7662,0.3465,0.0490
0.3768,0.3378,0.0478,0.7662,0.3465,0.0490
0.3868,0.3385,0.0479,0.7662,0.3465,0.0490
0.4003,0.3429,0.0485,0.7662,0.3465,0.0490
0.3715,0.3159,0.0447,0.7662,0.3465,0.0490
0.3578,0.3219,0.0455,0.7662,0.3465,0.0490
0.2648,0.2322,0.0328,0.7662,0.3465,0.0490
0.3423,0.2963,0.0419,0.7662,0.3465,0.0490
0.3605,0.3129,0.0442,0.7662,0.3465,0.0490
0.3380,0.3024,0.0428,0.7662,0.3465,0.0490
0.3320,0.2696,0.0381,0.7662,0.3465,0.0490
0.3520,0.3260,0.0461,0.7662,0.3465,0.0490
0.3719,0.3272,0.0463,0.7662,0.3465,0.0490
0.3862,0.3305,0.0467,0.7662,0.3465,0.0490
0.3770,0.3346,0.0473,0.7662,0.3465,0.0490
0.4362,0.3707,0.0524,0.7662,0.3465,0.0490
0.3013,0.2675,0.0378,0.7662,0.3465,0.0490
0.3279,0.3013,0.0426,0.7662,0.3465,0.0490
0.3722,0.3145,0.0445,0.7662,0.3465,0.0490
0.4114,0.3552,0.0502,0.7662,0.3465,0.0490
0.3155,0.2705,0.0382,0.7662,0.3465,0.0490
0.3146,0.2670,0.0378,0.7762,0.3459,0.0489
0.3766,0.3361,0.0475,0.7762,0.3459,0.0489
0.4139,0.3685,0.0521,0.7762,0.3459,0.0489
0.3265,0.2854,0.0404,0.7762,0.3459,0.0489
0.3728,0.3371,0.0477,0.7762,0.3459,0.0489
0.4667,0.3845,0.0544,0.7762,0.3459,0.0489
0.3431,0.3066,0.0434,0.7764,0.3460,0.0489
0.3801,0.3371,0.0477,0.7764,0.3460,0.0489
0.4257,0.3624,0.0513,0.7764,0.3460,0.0489
0.3691,0.3260,0.0461,0.7764,0.3460,0.0489
0.3542,0.3097,0.0438,0.7764,0.3460,0.0489
0.3119,0.2898,0.0410,0.7764,0.3460,0.0489
0.4135,0.3485,0.0493,0.7764,0.3460,0.0489
0.3619,0.3176,0.0449,0.7764,0.3460,0.0489
0.3664,0.3148,0.0445,0.7764,0.3460,0.0489
0.3931,0.3523,0.0498,0.7764,0.3460,0.0489
0.3068,0.2696,0.0381,0.7764,0.3460,0.0489
0.3528,0.3283,0.0464,0.7764,0.3460,0.0489
0.4079,0.3542,0.0501,0.7764,0.3460,0.0489
0.3403,0.3049,0.0431,0.7764,0.3460,0.0489
0.3237,0.2894,0.0409,0.7764,0.3460,0.0489
0.3451,0.3113,0.0440,0.7764,0.3460,0.0489
0.3547,0.3148,0.0445,0.7764,0.3460,0.0489
0.3566,0.3256,0.0461,0.7764,0.3460,0.0489
0.3594,0.2971,0.0420,0.7764,0.3460,0.0489
0.3443,0.3110,0.0440,0.7764,0.3460,0.0489
0.3469,0.3029,0.0428,0.7764,0.3460,0.0489
0.3820,0.3363,0.0476,0.7764,0.3460,0.0489
0.3393,0.3137,0.0444,0.7764,0.3460,0.0489
0.3750,0.3403,0.0481,0.7764,0.3460,0.0489
0.3240,0.2862,0.0405,0.7764,0.3460,0.0489
0.3856,0.3394,0.0480,0.7764,0.3460,0.0489
0.3323,0.3153,0.0446,0.7764,0.3460,0.0489
0.3406,0.3167,0.0448,0.7764,0.3460,0.0489
0.3053,0.2672,0.0378,0.7764,0.3460,0.0489
0.3323,0.3024,0.0428,0.7764,0.3460,0.0489
0.2985,0.2679,0.0379,0.7764,0.3460,0.0489
0.2974,0.2579,0.0365,0.7764,0.3460,0.0489
0.4236,0.3641,0.0515,0.7764,0.3460,0.0489
0.3835,0.3375,0.0477,0.7764,0.3460,0.0489
0.4233,0.3503,0.0495,0.7764,0.3460,0.0489
0.3627,0.3027,0.0428,0.7764,0.3460,0.0489
0.3049,0.2709,0.0383,0.7764,0.3460,0.0489
0.3103,0.2702,0.0382,0.7764,0.3460,0.0489
0.3181,0.2683,0.0379,0.7764,0.3460,0.0489
0.3637,0.3306,0.0468,0.7764,0.3460,0.0489
0.3449,0.3172,0.0449,0.7764,0.3460,0.0489
0.3242,0.2741,0.0388,0.7764,0.3460,0.0489
0.3292,0.2990,0.0423,0.7764,0.3460,0.0489
0.3915,0.3436,0.0486,0.7764,0.3460,0.0489
0.3257,0.2851,0.0403,0.7764,0.3460,0.0489
0.3366,0.3003,0.0425,0.7764,0.3460,0.0489
0.3939,0.3424,0.0484,0.7764,0.3460,0.0489
0.3479,0.3082,0.0436,0.7764,0.3460,0.0489
0.3784,0.3370,0.0477,0.7764,0.3460,0.0489
0.3199,0.2980,0.0421,0.7764,0.3460,0.0489
0.3398,0.2968,0.0420,0.7764,0.3460,0.0489
0.3619,0.3210,0.0454,0.7764,0.3460,0.0489
0.3740,0.3390,0.0479,0.7764,0.3460,0.0489
0.3201,0.3024,0.0428,0.7764,0.3460,0.0489
0.3429,0.3124,0.0442,0.7764,0.3460,0.0489
0.3344,0.2872,0.0406,0.7764,0.3460,0.0489
0.4085,0.3364,0.0476,0.7764,0.3460,0.0489
0.3989,0.3511,0.0497,0.7764,0.3460,0.0489
0.4338,0.3551,0.0502,0.7764,0.3460,0.0489
0.3729,0.3318,0.0469,0.7764,0.3460,0.0489
0.3501,0.3236,0.0458,0.7764,0.3460,0.0489
0.3197,0.2865,0.0405,0.7764,0.3460,0.0489
0.3608,0.3157,0.0446,0.7764,0.3460,0.0489
0.3813,0.3294,0.0466,0.7764,0.3460,0.0489
0.3101,0.2762,0.0391,0.7764,0.3460,0.0489
0.3364,0.2915,0.0412,0.7764,0.3460,0.0489
0.3422,0.3128,0.0442,0.7764,0.3460,0.0489
0.3527,0.3114,0.0440,0.7764,0.3460,0.0489
0.3403,0.3112,0.0440,0.7764,0.3460,0.0489
0.4066,0.3453,0.0488,0.7764,0.3460,0.0489
0.3528,0.3221,0.0456,0.7764,0.3460,0.0489
0.3228,0.2860,0.0404,0.7764,0.3460,0.0489
0.3371,0.3007,0.0425,0.7764,0.3460,0.0489
0.3561,0.3084,0.0436,0.7764,0.3460,0.0489
0.3891,0.3390,0.0479,0.7764,0.3460,0.0489
0.3249,0.2979,0.0421,0.7764,0.3460,0.0489
0.3682,0.3363,0.0476,0.7764,0.3460,0.0489
0.3315,0.2881,0.0407,0.7764,0.3460,0.0489
0.3503,0.3023,0.0427,0.7764,0.3460,0.0489
0.3860,0.3247,0.0459,0.7764,0.3460,0.0489
0.3116,0.2717,0.0384,0.7764,0.3460,0.0489
0.3789,0.3327,0.0471,0.7764,0.3460,0.0489
0.4008,0.3458,0.0489,0.7764,0.3460,0.0489
0.4038,0.3405,0.0481,0.7770,0.3464,0.0490
0.4298,0.3564,0.0504,0.7770,0.3464,0.0490
0.3276,0.2614,0.0370,0.7770,0.3464,0.0490
0.3740,0.3194,0.0452,0.7770,0.3464,0.0490
0.3775,0.3142,0.0444,0.7770,0.3464,0.0490
0.3070,0.2533,0.0358,0.7770,0.3464,0.0490
0.3400,0.3005,0.0425,0.7770,0.3464,0.0490
