# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0923,0.0112,0.0016,0.0923,0.0112,0.0016
0.1102,0.0345,0.0049,0.1123,0.0326,0.0046
0.1842,0.1884,0.0266,0.1896,0.1874,0.0265
0.1646,0.1338,0.0189,0.2051,0.1875,0.0265
0.1655,0.1367,0.0193,0.2195,0.2156,0.0305
0.1992,0.1976,0.0279,0.2269,0.2237,0.0316
0.1672,0.1277,0.0181,0.2312,0.2222,0.0314
0.2001,0.2075,0.0293,0.2348,0.2215,0.0313
0.1515,0.0485,0.0069,0.2371,0.2206,0.0312
0.1857,0.1730,0.0245,0.2374,0.2206,0.0312
0.2211,0.2253,0.0319,0.2390,0.2199,0.0311
0.1732,0.1328,0.0188,0.2393,0.2198,0.0311
0.1905,0.1750,0.0247,0.2413,0.2190,0.0310
0.2077,0.2016,0.0285,0.2413,0.2190,0.0310
0.1883,0.1739,0.0246,0.2419,0.2188,0.0309
0.1963,0.1790,0.0253,0.2453,0.2174,0.0307
0.1925,0.1584,0.0224,0.2615,0.2415,0.0342
0.2224,0.2085,0.0295,0.2695,0.2435,0.0344
0.2250,0.2268,0.0321,0.2714,0.2442,0.0345
0.2136,0.1843,0.0261,0.2739,0.2453,0.0347
0.2108,0.2158,0.0305,0.2746,0.2451,0.0347
0.2016,0.1773,0.0251,0.2746,0.2451,0.0347
0.1744,0.1308,0.0185,0.2747,0.2450,0.0346
0.2072,0.2078,0.0294,0.2750,0.2449,0.0346
0.2042,0.2069,0.0293,0.2750,0.2449,0.0346
0.2143,0.2003,0.0283,0.2752,0.2448,0.0346
0.2219,0.2090,0.0296,0.2752,0.2448,0.0346
0.2130,0.2044,0.0289,0.2752,0.2448,0.0346
0.1906,0.1724,0.0244,0.2948,0.2627,0.0371
0.1929,0.1721,0.0243,0.3108,0.2802,0.0396
0.1958,0.1790,0.0253,0.3108,0.2802,0.0396
0.2403,0.2545,0.0360,0.3268,0.2958,0.0418
0.2025,0.2070,0.0293,0.3268,0.2958,0.0418
0.2130,0.2033,0.0288,0.3285,0.2949,0.0417
0.2167,0.2107,0.0298,0.3285,0.2949,0.0417
0.2162,0.1954,0.0276,0.3285,0.2949,0.0417
0.2195,0.2269,0.0321,0.3285,0.2949,0.0417
0.1961,0.1741,0.0246,0.3285,0.2949,0.0417
0.2165,0.2089,0.0295,0.3285,0.2949,0.0417
0.2142,0.2123,0.0300,0.3285,0.2949,0.0417
0.1840,0.1745,0.0247,0.3285,0.2949,0.0417
0.2114,0.2053,0.0290,0.3288,0.2948,0.0417
0.2003,0.1983,0.0280,0.3288,0.2948,0.0417
0.2070,0.1642,0.0232,0.3289,0.2948,0.0417
0.2335,0.2235,0.0316,0.3289,0.2948,0.0417
0.1979,0.1719,0.0243,0.3289,0.2948,0.0417
0.2062,0.1773,0.0251,0.3298,0.2943,0.0416
0.2244,0.2354,0.0333,0.3298,0.2943,0.0416
0.2199,0.1977,0.0280,0.3298,0.2943,0.0416
0.2214,0.2158,0.0305,0.3298,0.2943,0.0416
0.2109,0.2099,0.0297,0.3298,0.2943,0.0416
0.1774,0.1281,0.0181,0.3298,0.2943,0.0416
0.2060,0.2071,0.0293,0.3298,0.2943,0.0416
0.2125,0.2104,0.0297,0.3298,0.2943,0.0416
0.1938,0.1721,0.0243,0.3318,0.2931,0.0414
0.2275,0.2340,0.0331,0.3318,0.2931,0.0414
0.1780,0.1355,0.0192,0.3318,0.2931,0.0414
0.2381,0.2369,0.0335,0.3318,0.2931,0.0414
0.2176,0.2100,0.0297,0.3318,0.2931,0.0414
0.2234,0.2342,0.0331,0.3320,0.2930,0.0414
0.1922,0.1445,0.0204,0.3320,0.2930,0.0414
0.2292,0.2218,0.0314,0.3320,0.2930,0.0414
0.2173,0.2091,0.0296,0.3341,0.2917,0.0413
0.2270,0.2342,0.0331,0.3341,0.2917,0.0413
0.2182,0.2091,0.0296,0.3341,0.2917,0.0413
0.2041,0.1769,0.0250,0.3341,0.2917,0.0413
0.2063,0.1754,0.0248,0.3341,0.2917,0.0413
0.2018,0.1701,0.0241,0.3341,0.2917,0.0413
0.2297,0.2238,0.0316,0.3341,0.2917,0.0413
0.2333,0.2249,0.0318,0.3342,0.2920,0.0413
0.2114,0.1874,0.0265,0.3342,0.2920,0.0413
0.1896,0.1354,0.0192,0.3342,0.2920,0.0413
