# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0862,0.0140,0.0020,0.0862,0.0140,0.0020
0.1073,0.0348,0.0049,0.1104,0.0322,0.0046
0.1473,0.1582,0.0224,0.1582,0.1565,0.0221
0.1463,0.1506,0.0213,0.1659,0.1554,0.0220
0.1300,0.0683,0.0097,0.1701,0.1546,0.0219
0.1478,0.1393,0.0197,0.1716,0.1544,0.0218
0.1360,0.0666,0.0094,0.1754,0.1537,0.0217
0.1419,0.1157,0.0164,0.1903,0.1762,0.0249
0.1523,0.1291,0.0183,0.2000,0.1899,0.0269
0.1674,0.1759,0.0249,0.2030,0.1892,0.0268
0.1563,0.1289,0.0182,0.2090,0.1874,0.0265
0.1599,0.1391,0.0197,0.2100,0.1875,0.0265
0.1618,0.1766,0.0250,0.2100,0.1875,0.0265
0.1709,0.1814,0.0257,0.2121,0.1868,0.0264
0.1812,0.1803,0.0255,0.2260,0.2121,0.0300
0.1727,0.1747,0.0247,0.2280,0.2114,0.0299
0.1793,0.1731,0.0245,0.2280,0.2114,0.0299
0.1738,0.1742,0.0246,0.2291,0.2109,0.0298
0.1656,0.1755,0.0248,0.2294,0.2109,0.0298
0.1466,0.1279,0.0181,0.2302,0.2104,0.0298
0.1546,0.1282,0.0181,0.2302,0.2104,0.0298
0.1731,0.1744,0.0247,0.2303,0.2104,0.0298
0.1848,0.1859,0.0263,0.2389,0.2177,0.0308
0.1783,0.1836,0.0260,0.2403,0.2173,0.0307
0.2062,0.2284,0.0323,0.2628,0.2499,0.0353
0.1797,0.2035,0.0288,0.2648,0.2515,0.0356
0.1624,0.1488,0.0210,0.2649,0.2515,0.0356
0.1753,0.1458,0.0206,0.2681,0.2507,0.0355
0.1603,0.1312,0.0186,0.2695,0.2511,0.0355
0.1605,0.1290,0.0182,0.2714,0.2502,0.0354
0.1762,0.1738,0.0246,0.2716,0.2502,0.0354
0.1673,0.1273,0.0180,0.2731,0.2496,0.0353
0.1693,0.1353,0.0191,0.2744,0.2490,0.0352
0.1998,0.1870,0.0265,0.2827,0.2496,0.0353
0.1731,0.1627,0.0230,0.2827,0.2496,0.0353
0.1562,0.1284,0.0182,0.2828,0.2496,0.0353
0.1581,0.1313,0.0186,0.2828,0.2496,0.0353
0.1702,0.1312,0.0185,0.2845,0.2494,0.0353
0.1826,0.1733,0.0245,0.2845,0.2494,0.0353
0.2037,0.2175,0.0308,0.2863,0.2486,0.0352
0.1679,0.1456,0.0206,0.2869,0.2482,0.0351
0.1735,0.1746,0.0247,0.2869,0.2482,0.0351
0.1782,0.1869,0.0264,0.2869,0.2482,0.0351
0.1807,0.1838,0.0260,0.2873,0.2480,0.0351
0.1647,0.1281,0.0181,0.2884,0.2475,0.0350
0.1786,0.1731,0.0245,0.2890,0.2472,0.0350
0.1790,0.1750,0.0248,0.2891,0.2472,0.0350
0.1868,0.1796,0.0254,0.2891,0.2472,0.0350
0.1855,0.1892,0.0268,0.2891,0.2472,0.0350
0.1993,0.2070,0.0293,0.2891,0.2472,0.0350
0.1889,0.1884,0.0266,0.2891,0.2472,0.0350
0.1933,0.1879,0.0266,0.2908,0.2461,0.0348
0.1631,0.1298,0.0184,0.2909,0.2461,0.0348
0.1661,0.1265,0.0179,0.2909,0.2461,0.0348
0.1913,0.1884,0.0266,0.2909,0.2461,0.0348
0.1474,0.0562,0.0080,0.2909,0.2461,0.0348
0.1755,0.1733,0.0245,0.2909,0.2461,0.0348
0.1662,0.0946,0.0134,0.2909,0.2461,0.0348
0.1680,0.1367,0.0193,0.2929,0.2474,0.0350
0.1668,0.1297,0.0183,0.2930,0.2474,0.0350
0.1728,0.1356,0.0192,0.2930,0.2474,0.0350
0.1865,0.1727,0.0244,0.2930,0.2474,0.0350
0.1983,0.1936,0.0274,0.2932,0.2473,0.0350
0.1870,0.1785,0.0252,0.2932,0.2473,0.0350
0.1874,0.1900,0.0269,0.2932,0.2473,0.0350
0.2018,0.2048,0.0290,0.3060,0.2584,0.0365
0.1852,0.1861,0.0263,0.3060,0.2584,0.0365
0.1835,0.1756,0.0248,0.3060,0.2584,0.0365
0.1865,0.1807,0.0256,0.3060,0.2584,0.0365
0.1727,0.1518,0.0215,0.3060,0.2584,0.0365
0.1703,0.1750,0.0247,0.3060,0.2584,0.0365
0.1790,0.1735,0.0245,0.3060,0.2584,0.0365
0.1573,0.0675,0.0095,0.3064,0.2583,0.0365
0.1762,0.1358,0.0192,0.3065,0.2582,0.0365
0.1840,0.1799,0.0254,0.3065,0.2582,0.0365
0.1940,0.1906,0.0270,0.3065,0.2582,0.0365
0.1616,0.1358,0.0192,0.3065,0.2582,0.0365
0.1640,0.1283,0.0181,0.3087,0.2575,0.0364
0.1706,0.1754,0.0248,0.3087,0.2575,0.0364
0.1812,0.1797,0.0254,0.3087,0.2575,0.0364
0.1612,0.1282,0.0181,0.3087,0.2575,0.0364
0.1719,0.1752,0.0248,0.3087,0.2575,0.0364
0.1711,0.1780,0.0252,0.3087,0.2575,0.0364
0.1643,0.1527,0.0216,0.3087,0.2575,0.0364
0.1640,0.1370,0.0194,0.3087,0.2575,0.0364
0.1716,0.1745,0.0247,0.3089,0.2574,0.0364
0.1635,0.1377,0.0195,0.3089,0.2574,0.0364
0.1633,0.1331,0.0188,0.3089,0.2574,0.0364
0.1840,0.1986,0.0281,0.3091,0.2574,0.0364
0.1774,0.1735,0.0245,0.3091,0.2574,0.0364
0.1749,0.1766,0.0250,0.3091,0.2573,0.0364
0.1872,0.1906,0.0270,0.3091,0.2573,0.0364
0.1504,0.0943,0.0133,0.3091,0.2573,0.0364
0.1672,0.1365,0.0193,0.3091,0.2573,0.0364
0.1716,0.1743,0.0246,0.3091,0.2573,0.0364
0.1855,0.1738,0.0246,0.3091,0.2573,0.0364
0.1568,0.1137,0.0161,0.3091,0.2573,0.0364
0.1728,0.1747,0.0247,0.3091,0.2573,0.0364
0.1790,0.1921,0.0272,0.3091,0.2573,0.0364
0.1848,0.1911,0.0270,0.3091,0.2573,0.0364
0.1821,0.1747,0.0247,0.3091,0.2573,0.0364
0.1641,0.1379,0.0195,0.3091,0.2573,0.0364
0.2004,0.2070,0.0293,0.3191,0.2738,0.0387
0.1781,0.1775,0.0251,0.3234,0.2735,0.0387
0.1848,0.1844,0.0261,0.3269,0.2755,0.0390
0.1771,0.1736,0.0246,0.3269,0.2755,0.0390
0.1896,0.1859,0.0263,0.3269,0.2755,0.0390
0.1997,0.2109,0.0298,0.3320,0.2823,0.0399
0.1954,0.1886,0.0267,0.3320,0.2823,0.0399
0.1827,0.1759,0.0249,0.3320,0.2823,0.0399
0.1907,0.2083,0.0295,0.3337,0.2856,0.0404
0.1771,0.1778,0.0252,0.3337,0.2856,0.0404
0.1925,0.1806,0.0255,0.3337,0.2856,0.0404
0.2079,0.2043,0.0289,0.3337,0.2856,0.0404
0.1743,0.1739,0.0246,0.3337,0.2856,0.0404
0.1569,0.1281,0.0181,0.3337,0.2856,0.0404
0.1770,0.1740,0.0246,0.3337,0.2856,0.0404
0.1755,0.1580,0.0223,0.3344,0.2853,0.0403
0.1711,0.1585,0.0224,0.3344,0.2853,0.0403
