# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.2238,0.0765,0.0108,0.2238,0.0765,0.0108
0.3848,0.2150,0.0304,0.3982,0.2061,0.0291
0.5868,0.3310,0.0468,0.5968,0.3222,0.0456
0.5821,0.3283,0.0464,0.6728,0.3315,0.0469
0.6515,0.3370,0.0477,0.7268,0.3267,0.0462
0.6360,0.3400,0.0481,0.7301,0.3236,0.0458
0.6114,0.3344,0.0473,0.7320,0.3224,0.0456
0.6385,0.3388,0.0479,0.7614,0.3150,0.0445
0.7298,0.3236,0.0458,0.7707,0.3129,0.0443
0.6517,0.3365,0.0476,0.7862,0.3042,0.0430
0.6111,0.3240,0.0458,0.7868,0.3041,0.0430
0.6896,0.3284,0.0464,0.7868,0.3041,0.0430
0.6767,0.3373,0.0477,0.7868,0.3041,0.0430
0.7086,0.3269,0.0462,0.7868,0.3041,0.0430
0.6525,0.3378,0.0478,0.7868,0.3041,0.0430
0.6756,0.3402,0.0481,0.7868,0.3041,0.0430
0.6685,0.3269,0.0462,0.8035,0.2941,0.0416
0.7156,0.3256,0.0460,0.8168,0.2876,0.0407
0.7266,0.3362,0.0476,0.8268,0.2850,0.0403
0.6892,0.3265,0.0462,0.8268,0.2850,0.0403
0.7112,0.3355,0.0474,0.8268,0.2850,0.0403
0.6823,0.3328,0.0471,0.8268,0.2850,0.0403
0.6708,0.3358,0.0475,0.8268,0.2850,0.0403
0.6608,0.3419,0.0484,0.8268,0.2850,0.0403
0.6760,0.3367,0.0476,0.8268,0.2850,0.0403
0.6944,0.3334,0.0471,0.8268,0.2850,0.0403
0.6800,0.3303,0.0467,0.8268,0.2850,0.0403
0.6901,0.3334,0.0472,0.8268,0.2850,0.0403
0.6915,0.3328,0.0471,0.8268,0.2850,0.0403
0.6974,0.3370,0.0477,0.8268,0.2850,0.0403
0.6696,0.3327,0.0470,0.8268,0.2850,0.0403
0.7040,0.3241,0.0458,0.8268,0.2850,0.0403
0.7081,0.3332,0.0471,0.8316,0.2773,0.0392
0.6503,0.3405,0.0482,0.8316,0.2773,0.0392
0.7135,0.3335,0.0472,0.8316,0.2773,0.0392
0.7104,0.3348,0.0474,0.8316,0.2773,0.0392
0.6822,0.3314,0.0469,0.8316,0.2773,0.0392
0.6753,0.3328,0.0471,0.8316,0.2773,0.0392
0.6651,0.3383,0.0478,0.8316,0.2773,0.0392
0.6632,0.3392,0.0480,0.8316,0.2773,0.0392
0.6445,0.3433,0.0485,0.8316,0.2773,0.0392
0.6819,0.3282,0.0464,0.8316,0.2773,0.0392
0.6603,0.3339,0.0472,0.8316,0.2773,0.0392
0.6393,0.3363,0.0476,0.8449,0.2689,0.0380
0.6450,0.3366,0.0476,0.8449,0.2689,0.0380
0.7034,0.3289,0.0465,0.8449,0.2689,0.0380
0.7125,0.3300,0.0467,0.8449,0.2689,0.0380
0.7134,0.3334,0.0472,0.8465,0.2686,0.0380
0.6885,0.3312,0.0468,0.8465,0.2686,0.0380
0.6892,0.3418,0.0483,0.8465,0.2686,0.0380
0.6763,0.3400,0.0481,0.8465,0.2686,0.0380
0.7089,0.3405,0.0482,0.8465,0.2686,0.0380
0.6672,0.3342,0.0473,0.8465,0.2686,0.0380
0.7124,0.3261,0.0461,0.8565,0.2648,0.0374
0.7117,0.3421,0.0484,0.8565,0.2648,0.0374
0.6781,0.3332,0.0471,0.8565,0.2648,0.0374
0.7266,0.3248,0.0459,0.8565,0.2648,0.0374
0.6992,0.3337,0.0472,0.8565,0.2648,0.0374
0.7252,0.3293,0.0466,0.8698,0.2547,0.0360
0.7089,0.3343,0.0473,0.8698,0.2547,0.0360
0.7060,0.3320,0.0470,0.8698,0.2547,0.0360
0.7247,0.3349,0.0474,0.8698,0.2547,0.0360
0.7146,0.3272,0.0463,0.8698,0.2547,0.0360
0.7217,0.3290,0.0465,0.8698,0.2547,0.0360
0.7405,0.3268,0.0462,0.8698,0.2547,0.0360
0.7206,0.3343,0.0473,0.8698,0.2547,0.0360
0.6922,0.3346,0.0473,0.8698,0.2547,0.0360
0.7423,0.3283,0.0464,0.8698,0.2547,0.0360
0.7331,0.3338,0.0472,0.8698,0.2547,0.0360
0.7084,0.3377,0.0478,0.8698,0.2547,0.0360
0.7217,0.3312,0.0468,0.8698,0.2547,0.0360
0.7233,0.3279,0.0464,0.8698,0.2547,0.0360
0.7124,0.3313,0.0469,0.8698,0.2547,0.0360
0.7581,0.3241,0.0458,0.8698,0.2547,0.0360
0.7254,0.3336,0.0472,0.8698,0.2547,0.0360
