# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0921,0.0130,0.0018,0.0921,0.0130,0.0018
0.1178,0.0361,0.0051,0.1188,0.0353,0.0050
0.2752,0.2999,0.0424,0.2766,0.2991,0.0423
0.2762,0.2938,0.0416,0.3058,0.3077,0.0435
0.3069,0.3214,0.0455,0.3663,0.3521,0.0498
0.2911,0.3106,0.0439,0.3693,0.3502,0.0495
0.2665,0.2741,0.0388,0.3726,0.3493,0.0494
0.2840,0.2910,0.0412,0.3946,0.3556,0.0503
0.3067,0.3071,0.0434,0.3963,0.3544,0.0501
0.2818,0.2909,0.0411,0.3970,0.3540,0.0501
0.2801,0.2779,0.0393,0.4001,0.3533,0.0500
0.2887,0.2932,0.0415,0.4021,0.3519,0.0498
0.3195,0.3172,0.0449,0.4042,0.3504,0.0496
0.2814,0.2708,0.0383,0.4042,0.3504,0.0496
0.2789,0.2984,0.0422,0.4045,0.3503,0.0495
0.3288,0.3292,0.0466,0.4045,0.3503,0.0495
0.3006,0.2944,0.0416,0.4065,0.3506,0.0496
0.2926,0.2959,0.0418,0.4090,0.3489,0.0493
0.2924,0.2840,0.0402,0.4196,0.3508,0.0496
0.3169,0.3154,0.0446,0.4236,0.3515,0.0497
0.2841,0.2910,0.0411,0.4396,0.3591,0.0508
0.3434,0.3306,0.0468,0.4546,0.3643,0.0515
0.3015,0.2970,0.0420,0.4564,0.3628,0.0513
0.3172,0.3113,0.0440,0.4607,0.3623,0.0512
0.3077,0.3079,0.0435,0.4607,0.3623,0.0512
0.3282,0.3234,0.0457,0.4607,0.3623,0.0512
0.2790,0.2740,0.0388,0.4612,0.3620,0.0512
0.2988,0.2829,0.0400,0.4612,0.3620,0.0512
0.2838,0.2944,0.0416,0.4612,0.3620,0.0512
0.2800,0.2753,0.0389,0.4615,0.3617,0.0512
0.3091,0.3152,0.0446,0.4615,0.3617,0.0512
0.2528,0.2511,0.0355,0.4615,0.3617,0.0512
0.2998,0.2961,0.0419,0.4630,0.3609,0.0510
0.2940,0.2938,0.0416,0.4630,0.3609,0.0510
0.2683,0.2439,0.0345,0.4660,0.3597,0.0509
0.2988,0.2935,0.0415,0.4660,0.3597,0.0509
0.3297,0.3306,0.0468,0.4660,0.3597,0.0509
0.2623,0.2581,0.0365,0.4675,0.3584,0.0507
0.3309,0.3140,0.0444,0.4675,0.3584,0.0507
0.3133,0.3213,0.0454,0.4675,0.3584,0.0507
0.2727,0.2645,0.0374,0.4680,0.3588,0.0507
0.3135,0.3093,0.0437,0.4680,0.3588,0.0507
0.2754,0.2613,0.0370,0.4680,0.3588,0.0507
0.3123,0.3109,0.0440,0.4699,0.3605,0.0510
0.3228,0.3213,0.0454,0.4699,0.3605,0.0510
0.3038,0.2959,0.0418,0.4716,0.3620,0.0512
0.3093,0.3036,0.0429,0.4736,0.3602,0.0509
0.2813,0.2811,0.0398,0.4736,0.3602,0.0509
0.3456,0.3265,0.0462,0.4736,0.3602,0.0509
0.2875,0.2803,0.0396,0.4736,0.3602,0.0509
0.3383,0.3262,0.0461,0.4736,0.3602,0.0509
0.3298,0.3156,0.0446,0.4736,0.3602,0.0509
0.3086,0.3070,0.0434,0.4736,0.3602,0.0509
0.2929,0.2869,0.0406,0.4736,0.3602,0.0509
0.2813,0.2839,0.0401,0.4736,0.3602,0.0509
0.2800,0.2763,0.0391,0.4736,0.3602,0.0509
0.3174,0.3128,0.0442,0.4736,0.3602,0.0509
0.2891,0.2899,0.0410,0.4736,0.3602,0.0509
0.2600,0.2418,0.0342,0.4736,0.3602,0.0509
0.2968,0.2797,0.0396,0.4736,0.3602,0.0509
0.2876,0.2837,0.0401,0.4736,0.3602,0.0509
0.2683,0.2729,0.0386,0.4736,0.3602,0.0509
0.2889,0.2907,0.0411,0.4736,0.3602,0.0509
0.2949,0.2797,0.0396,0.4736,0.3602,0.0509
0.3070,0.3110,0.0440,0.4736,0.3602,0.0509
0.2906,0.2805,0.0397,0.4736,0.3602,0.0509
0.3001,0.3020,0.0427,0.4736,0.3602,0.0509
0.2580,0.2464,0.0348,0.4736,0.3602,0.0509
0.3097,0.3120,0.0441,0.4744,0.3596,0.0509
0.2812,0.2738,0.0387,0.4744,0.3596,0.0509
0.2884,0.2848,0.0403,0.4760,0.3612,0.0511
0.3064,0.3061,0.0433,0.4760,0.3612,0.0511
0.2818,0.2811,0.0397,0.4760,0.3612,0.0511
0.3164,0.3148,0.0445,0.4760,0.3612,0.0511
