# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.1048,0.0195,0.0028,0.1048,0.0195,0.0028
0.3681,0.3122,0.0442,0.3702,0.3107,0.0439
0.5481,0.3770,0.0533,0.5954,0.3693,0.0522
0.5404,0.3836,0.0543,0.6976,0.3671,0.0519
0.6122,0.3819,0.0540,0.7350,0.3510,0.0496
0.5772,0.3957,0.0560,0.7620,0.3540,0.0501
0.6733,0.3796,0.0537,0.8253,0.3206,0.0453
0.6108,0.3907,0.0553,0.8253,0.3206,0.0453
0.6238,0.3783,0.0535,0.8253,0.3206,0.0453
0.6400,0.3825,0.0541,0.8557,0.2950,0.0417
0.6366,0.3858,0.0546,0.8558,0.2950,0.0417
0.5695,0.3937,0.0557,0.8558,0.2950,0.0417
0.5167,0.3724,0.0527,0.8558,0.2950,0.0417
0.6793,0.3813,0.0539,0.8558,0.2950,0.0417
0.6639,0.3819,0.0540,0.8558,0.2950,0.0417
0.6652,0.3898,0.0551,0.8558,0.2950,0.0417
0.6675,0.3853,0.0545,0.8558,0.2950,0.0417
0.6480,0.3868,0.0547,0.8558,0.2950,0.0417
0.6493,0.3924,0.0555,0.8718,0.2803,0.0396
0.5923,0.3850,0.0544,0.8718,0.2803,0.0396
0.6551,0.3908,0.0553,0.8718,0.2803,0.0396
0.6460,0.3902,0.0552,0.8878,0.2639,0.0373
0.6481,0.3843,0.0544,0.8978,0.2584,0.0365
0.6434,0.3877,0.0548,0.8978,0.2584,0.0365
0.6516,0.3844,0.0544,0.8978,0.2584,0.0365
0.5770,0.3923,0.0555,0.8978,0.2584,0.0365
0.6522,0.3798,0.0537,0.8978,0.2584,0.0365
0.7639,0.3571,0.0505,0.8978,0.2584,0.0365
0.6783,0.3809,0.0539,0.9141,0.2387,0.0338
0.7191,0.3731,0.0528,0.9141,0.2387,0.0338
0.6071,0.3865,0.0547,0.9141,0.2387,0.0338
0.6339,0.3843,0.0543,0.9141,0.2387,0.0338
0.6504,0.3942,0.0557,0.9141,0.2387,0.0338
0.6284,0.3854,0.0545,0.9141,0.2387,0.0338
0.7240,0.3669,0.0519,0.9141,0.2387,0.0338
0.6626,0.3945,0.0558,0.9141,0.2387,0.0338
0.6522,0.3905,0.0552,0.9150,0.2389,0.0338
0.7002,0.3718,0.0526,0.9150,0.2389,0.0338
0.6820,0.3885,0.0549,0.9150,0.2389,0.0338
0.6160,0.3864,0.0546,0.9150,0.2389,0.0338
0.6397,0.3892,0.0550,0.9150,0.2389,0.0338
0.6255,0.3715,0.0525,0.9150,0.2389,0.0338
0.5756,0.3933,0.0556,0.9150,0.2389,0.0338
0.7224,0.3694,0.0522,0.9150,0.2389,0.0338
0.7100,0.3691,0.0522,0.9150,0.2389,0.0338
0.6926,0.3772,0.0533,0.9150,0.2389,0.0338
0.6117,0.3901,0.0552,0.9150,0.2389,0.0338
0.6436,0.3871,0.0547,0.9150,0.2389,0.0338
0.6893,0.3776,0.0534,0.9150,0.2389,0.0338
0.6589,0.3864,0.0546,0.9150,0.2389,0.0338
0.5839,0.3846,0.0544,0.9150,0.2389,0.0338
0.7084,0.3744,0.0529,0.9150,0.2389,0.0338
0.6647,0.3713,0.0525,0.9150,0.2389,0.0338
0.6379,0.3756,0.0531,0.9150,0.2389,0.0338
0.6637,0.3848,0.0544,0.9150,0.2389,0.0338
0.7271,0.3781,0.0535,0.9150,0.2389,0.0338
0.6712,0.3762,0.0532,0.9150,0.2389,0.0338
0.7130,0.3818,0.0540,0.9150,0.2389,0.0338
0.6142,0.3880,0.0549,0.9150,0.2389,0.0338
0.6922,0.3776,0.0534,0.9150,0.2389,0.0338
0.6185,0.3721,0.0526,0.9150,0.2389,0.0338
0.7091,0.3710,0.0525,0.9150,0.2389,0.0338
0.6381,0.3897,0.0551,0.9150,0.2389,0.0338
0.7191,0.3769,0.0533,0.9150,0.2389,0.0338
0.6923,0.3887,0.0550,0.9303,0.2160,0.0306
0.6231,0.3957,0.0560,0.9303,0.2160,0.0306
0.6354,0.3757,0.0531,0.9363,0.1992,0.0282
0.7488,0.3660,0.0518,0.9441,0.1893,0.0268
0.6685,0.3876,0.0548,0.9441,0.1893,0.0268
0.6800,0.3790,0.0536,0.9441,0.1893,0.0268
0.6721,0.3863,0.0546,0.9441,0.1893,0.0268
0.6834,0.3727,0.0527,0.9601,0.1568,0.0222
0.6915,0.3598,0.0509,0.9601,0.1568,0.0222
0.5324,0.3830,0.0542,0.9601,0.1568,0.0222
0.7022,0.3753,0.0531,0.9601,0.1568,0.0222
0.6745,0.3817,0.0540,0.9601,0.1568,0.0222
0.6749,0.3811,0.0539,0.9601,0.1568,0.0222
0.6698,0.3879,0.0549,0.9601,0.1568,0.0222
0.6574,0.3791,0.0536,0.9601,0.1568,0.0222
0.6788,0.3902,0.0552,0.9601,0.1568,0.0222
0.6942,0.3744,0.0529,0.9601,0.1568,0.0222
0.7075,0.3741,0.0529,0.9601,0.1568,0.0222
0.7010,0.3829,0.0541,0.9601,0.1568,0.0222
0.7019,0.3813,0.0539,0.9601,0.1568,0.0222
0.6080,0.3829,0.0541,0.9601,0.1568,0.0222
0.6393,0.3900,0.0551,0.9601,0.1568,0.0222
0.7372,0.3742,0.0529,0.9731,0.1145,0.0162
0.6569,0.3758,0.0531,0.9731,0.1145,0.0162
0.6724,0.3852,0.0545,0.9731,0.1145,0.0162
0.7232,0.3633,0.0514,0.9731,0.1145,0.0162
0.6101,0.3937,0.0557,0.9731,0.1145,0.0162
0.7012,0.3727,0.0527,0.9731,0.1145,0.0162
0.7081,0.3734,0.0528,0.9731,0.1145,0.0162
0.6340,0.3815,0.0539,0.9731,0.1145,0.0162
0.5982,0.3834,0.0542,0.9731,0.1145,0.0162
0.6256,0.3896,0.0551,0.9731,0.1145,0.0162
0.6508,0.3928,0.0556,0.9731,0.1145,0.0162
0.6521,0.3933,0.0556,0.9731,0.1145,0.0162
0.6712,0.3727,0.0527,0.9731,0.1145,0.0162
0.6661,0.3705,0.0524,0.9731,0.1145,0.0162
0.6649,0.3928,0.0555,0.9731,0.1145,0.0162
0.6323,0.3856,0.0545,0.9731,0.1145,0.0162
0.6383,0.3793,0.0536,0.9731,0.1145,0.0162
0.6691,0.3751,0.0531,0.9731,0.1145,0.0162
0.7100,0.3804,0.0538,0.9731,0.1145,0.0162
0.6028,0.3819,0.0540,0.9731,0.1145,0.0162
0.7192,0.3528,0.0499,0.9731,0.1145,0.0162
0.6206,0.3956,0.0559,0.9731,0.1145,0.0162
0.6882,0.3787,0.0536,0.9731,0.1145,0.0162
0.7387,0.3642,0.0515,0.9731,0.1145,0.0162
0.6744,0.3833,0.0542,0.9731,0.1145,0.0162
0.6477,0.3922,0.0555,0.9731,0.1145,0.0162
0.6964,0.3816,0.0540,0.9750,0.1132,0.0160
0.6683,0.3797,0.0537,0.9750,0.1132,0.0160
0.6820,0.3838,0.0543,0.9750,0.1132,0.0160
0.6685,0.3791,0.0536,0.9750,0.1132,0.0160
0.7360,0.3573,0.0505,0.9750,0.1132,0.0160
0.7240,0.3694,0.0522,0.9750,0.1132,0.0160
0.5998,0.3787,0.0536,0.9750,0.1132,0.0160
0.7117,0.3691,0.0522,0.9750,0.1132,0.0160
0.6425,0.3848,0.0544,0.9750,0.1132,0.0160
0.6974,0.3851,0.0545,0.9750,0.1132,0.0160
0.6529,0.3921,0.0555,0.9750,0.1132,0.0160
0.6608,0.3867,0.0547,0.9750,0.1132,0.0160
0.6130,0.3804,0.0538,0.9750,0.1132,0.0160
0.6792,0.3793,0.0536,0.9750,0.1132,0.0160
0.6270,0.3863,0.0546,0.9750,0.1132,0.0160
0.6622,0.3868,0.0547,0.9750,0.1132,0.0160
0.6540,0.3782,0.0535,0.9750,0.1132,0.0160
0.6545,0.3787,0.0536,0.9750,0.1132,0.0160
0.6638,0.3825,0.0541,0.9750,0.1132,0.0160
0.7001,0.3797,0.0537,0.9750,0.1132,0.0160
0.7092,0.3710,0.0525,0.9750,0.1132,0.0160
0.7168,0.3711,0.0525,0.9750,0.1132,0.0160
0.6032,0.3964,0.0561,0.9750,0.1132,0.0160
0.7232,0.3561,0.0504,0.9750,0.1132,0.0160
0.6786,0.3775,0.0534,0.9750,0.1132,0.0160
0.6499,0.3761,0.0532,0.9750,0.1132,0.0160
0.6558,0.3876,0.0548,0.9750,0.1132,0.0160
0.6276,0.3897,0.0551,0.9750,0.1132,0.0160
0.6146,0.3732,0.0528,0.9750,0.1132,0.0160
0.6240,0.3839,0.0543,0.9750,0.1132,0.0160
0.6554,0.3862,0.0546,0.9750,0.1132,0.0160
0.7304,0.3702,0.0524,0.9750,0.1132,0.0160
0.7018,0.3795,0.0537,0.9750,0.1132,0.0160
0.6336,0.3741,0.0529,0.9750,0.1132,0.0160
0.6722,0.3953,0.0559,0.9750,0.1132,0.0160
0.6259,0.3897,0.0551,0.9750,0.1132,0.0160
0.6004,0.3881,0.0549,0.9750,0.1132,0.0160
0.6261,0.3884,0.0549,0.9750,0.1132,0.0160
0.6779,0.3788,0.0536,0.9750,0.1132,0.0160
0.6611,0.3840,0.0543,0.9750,0.1132,0.0160
0.6510,0.3905,0.0552,0.9750,0.1132,0.0160
0.6826,0.3862,0.0546,0.9750,0.1132,0.0160
0.6274,0.3894,0.0551,0.9750,0.1132,0.0160
0.6176,0.3985,0.0564,0.9750,0.1132,0.0160
0.5933,0.3839,0.0543,0.9750,0.1132,0.0160
0.6070,0.3940,0.0557,0.9750,0.1132,0.0160
0.5366,0.3816,0.0540,0.9750,0.1132,0.0160
0.6177,0.3877,0.0548,0.9750,0.1132,0.0160
0.6552,0.3898,0.0551,0.9750,0.1132,0.0160
0.5924,0.3923,0.0555,0.9750,0.1132,0.0160
0.5420,0.3758,0.0531,0.9750,0.1132,0.0160
0.5799,0.3912,0.0553,0.9750,0.1132,0.0160
0.5529,0.3865,0.0547,0.9750,0.1132,0.0160
0.6958,0.3758,0.0531,0.9750,0.1132,0.0160
0.6800,0.3897,0.0551,0.9750,0.1132,0.0160
0.6311,0.3840,0.0543,0.9750,0.1132,0.0160
0.6783,0.3751,0.0531,0.9750,0.1132,0.0160
0.6297,0.3847,0.0544,0.9750,0.1132,0.0160
0.6050,0.3957,0.0560,0.9764,0.1125,0.0159
0.6199,0.3864,0.0546,0.9764,0.1125,0.0159
0.5686,0.3980,0.0563,0.9764,0.1125,0.0159
0.5966,0.3747,0.0530,0.9764,0.1125,0.0159
0.6354,0.3948,0.0558,0.9764,0.1125,0.0159
0.6956,0.3854,0.0545,0.9764,0.1125,0.0159
0.6403,0.3777,0.0534,0.9764,0.1125,0.0159
0.6035,0.3845,0.0544,0.9764,0.1125,0.0159
0.6421,0.3845,0.0544,0.9764,0.1125,0.0159
0.6259,0.3880,0.0549,0.9764,0.1125,0.0159
0.6146,0.3885,0.0549,0.9764,0.1125,0.0159
0.5347,0.3789,0.0536,0.9764,0.1125,0.0159
0.5787,0.3819,0.0540,0.9764,0.1125,0.0159
0.6347,0.3782,0.0535,0.9764,0.1125,0.0159
0.6614,0.3898,0.0551,0.9765,0.1125,0.0159
0.6068,0.3921,0.0555,0.9765,0.1125,0.0159
0.5739,0.3874,0.0548,0.9765,0.1125,0.0159
0.5791,0.3983,0.0563,0.9765,0.1125,0.0159
0.6350,0.3910,0.0553,0.9765,0.1125,0.0159
0.6263,0.4048,0.0572,0.9765,0.1125,0.0159
0.6401,0.3761,0.0532,0.9765,0.1125,0.0159
0.5858,0.3980,0.0563,0.9765,0.1125,0.0159
0.6673,0.3825,0.0541,0.9765,0.1125,0.0159
0.5831,0.3869,0.0547,0.9765,0.1125,0.0159
0.6529,0.3922,0.0555,0.9765,0.1125,0.0159
0.6048,0.3736,0.0528,0.9765,0.1125,0.0159
0.5819,0.3855,0.0545,0.9765,0.1125,0.0159
0.6289,0.3910,0.0553,0.9765,0.1125,0.0159
0.6488,0.3924,0.0555,0.9765,0.1125,0.0159
0.5993,0.3788,0.0536,0.9765,0.1125,0.0159
0.6140,0.3920,0.0554,0.9765,0.1125,0.0159
0.5376,0.3848,0.0544,0.9765,0.1125,0.0159
0.6521,0.3930,0.0556,0.9765,0.1125,0.0159
0.4751,0.3527,0.0499,0.9765,0.1125,0.0159
0.5932,0.3848,0.0544,0.9765,0.1125,0.0159
0.5393,0.3771,0.0533,0.9765,0.1125,0.0159
0.6317,0.3854,0.0545,0.9765,0.1125,0.0159
0.6791,0.3861,0.0546,0.9765,0.1125,0.0159
0.6907,0.3870,0.0547,0.9765,0.1125,0.0159
0.6867,0.3745,0.0530,0.9765,0.1125,0.0159
0.5728,0.3825,0.0541,0.9765,0.1125,0.0159
0.5886,0.3921,0.0555,0.9765,0.1125,0.0159
0.5806,0.3842,0.0543,0.9765,0.1125,0.0159
0.5498,0.3766,0.0533,0.9765,0.1125,0.0159
0.5798,0.3919,0.0554,0.9765,0.1125,0.0159
0.5532,0.3845,0.0544,0.9765,0.1125,0.0159
0.6354,0.3913,0.0553,0.9765,0.1125,0.0159
0.5722,0.3849,0.0544,0.9765,0.1125,0.0159
0.6773,0.3903,0.0552,0.9765,0.1125,0.0159
0.5704,0.3916,0.0554,0.9765,0.1125,0.0159
0.6791,0.3875,0.0548,0.9765,0.1125,0.0159
0.6070,0.3722,0.0526,0.9765,0.1125,0.0159
0.6073,0.3903,0.0552,0.9765,0.1125,0.0159
0.5850,0.3974,0.0562,0.9925,0.0190,0.0027
0.6983,0.3800,0.0537,0.9925,0.0190,0.0027
0.6329,0.3925,0.0555,0.9925,0.0190,0.0027
0.6078,0.3944,0.0558,0.9925,0.0190,0.0027
0.6013,0.3938,0.0557,0.9925,0.0190,0.0027
0.6542,0.3842,0.0543,0.9925,0.0190,0.0027
0.6165,0.3930,0.0556,0.9925,0.0190,0.0027
0.6503,0.3889,0.0550,0.9925,0.0190,0.0027
0.6908,0.3580,0.0506,0.9925,0.0190,0.0027
0.6347,0.3896,0.0551,0.9925,0.0190,0.0027
0.5623,0.3881,0.0549,0.9925,0.0190,0.0027
0.5748,0.3934,0.0556,0.9925,0.0190,0.0027
0.6420,0.3811,0.0539,0.9925,0.0190,0.0027
0.6434,0.3869,0.0547,0.9925,0.0190,0.0027
0.6335,0.3848,0.0544,0.9925,0.0190,0.0027
0.7058,0.3746,0.0530,0.9925,0.0190,0.0027
0.6032,0.3894,0.0551,0.9925,0.0190,0.0027
0.6595,0.3865,0.0547,0.9925,0.0190,0.0027
0.6207,0.3945,0.0558,0.9925,0.0190,0.0027
0.5378,0.3862,0.0546,0.9925,0.0190,0.0027
0.6089,0.3926,0.0555,0.9925,0.0190,0.0027
0.5992,0.3797,0.0537,0.9925,0.0190,0.0027
0.6163,0.3864,0.0546,0.9925,0.0190,0.0027
0.7091,0.3810,0.0539,0.9936,0.0177,0.0025
0.6944,0.3816,0.0540,0.9936,0.0177,0.0025
0.5280,0.3942,0.0557,0.9936,0.0177,0.0025
0.6056,0.3975,0.0562,0.9936,0.0177,0.0025
0.6755,0.3912,0.0553,0.9936,0.0177,0.0025
0.6470,0.3965,0.0561,0.9936,0.0177,0.0025
0.5707,0.3852,0.0545,0.9936,0.0177,0.0025
0.5835,0.3950,0.0559,0.9936,0.0177,0.0025
0.6661,0.3814,0.0539,0.9936,0.0177,0.0025
0.5906,0.3906,0.0552,0.9936,0.0177,0.0025
0.6372,0.3844,0.0544,0.9936,0.0177,0.0025
0.6214,0.3913,0.0553,0.9936,0.0177,0.0025
0.6965,0.3841,0.0543,0.9936,0.0177,0.0025
0.5358,0.3679,0.0520,0.9936,0.0177,0.0025
0.5576,0.3938,0.0557,0.9936,0.0177,0.0025
0.6135,0.4017,0.0568,0.9936,0.0177,0.0025
0.5780,0.3923,0.0555,0.9936,0.0177,0.0025
0.6967,0.3846,0.0544,0.9936,0.0177,0.0025
0.6264,0.3786,0.0535,0.9936,0.0177,0.0025
0.6150,0.3912,0.0553,0.9936,0.0177,0.0025
0.5659,0.4013,0.0568,0.9936,0.0177,0.0025
0.6857,0.3782,0.0535,0.9936,0.0177,0.0025
0.6191,0.3812,0.0539,0.9936,0.0177,0.0025
0.6385,0.3749,0.0530,0.9936,0.0177,0.0025
0.6763,0.3787,0.0536,0.9936,0.0177,0.0025
0.6233,0.3937,0.0557,0.9936,0.0177,0.0025
0.6217,0.3911,0.0553,0.9936,0.0177,0.0025
0.5871,0.3953,0.0559,0.9936,0.0177,0.0025
0.6394,0.3846,0.0544,0.9936,0.0177,0.0025
0.6568,0.3903,0.0552,0.9936,0.0177,0.0025
0.6647,0.3827,0.0541,0.9936,0.0177,0.0025
0.6186,0.3779,0.0534,0.9936,0.0177,0.0025
0.6490,0.3840,0.0543,0.9936,0.0177,0.0025
0.5919,0.3920,0.0554,0.9936,0.0177,0.0025
0.6400,0.3817,0.0540,0.9936,0.0177,0.0025
0.6617,0.3914,0.0554,0.9936,0.0177,0.0025
0.6848,0.3875,0.0548,0.9936,0.0177,0.0025
0.6758,0.3815,0.0540,0.9936,0.0177,0.0025
0.6060,0.3754,0.0531,0.9936,0.0177,0.0025
0.5551,0.3849,0.0544,0.9936,0.0177,0.0025
0.6351,0.3964,0.0561,0.9936,0.0177,0.0025
0.5388,0.3854,0.0545,0.9936,0.0177,0.0025
0.5789,0.3722,0.0526,0.9936,0.0177,0.0025
0.5383,0.3719,0.0526,0.9936,0.0177,0.0025
0.6072,0.3811,0.0539,0.9936,0.0177,0.0025
0.5826,0.3879,0.0549,0.9936,0.0177,0.0025
0.6918,0.3837,0.0543,0.9936,0.0177,0.0025
0.6393,0.3886,0.0550,0.9936,0.0177,0.0025
0.6084,0.3860,0.0546,0.9936,0.0177,0.0025
0.6370,0.3764,0.0532,0.9936,0.0177,0.0025
0.6301,0.3912,0.0553,0.9936,0.0177,0.0025
0.6634,0.3808,0.0539,0.9936,0.0177,0.0025
0.6463,0.3884,0.0549,0.9936,0.0177,0.0025
0.6418,0.3907,0.0553,0.9936,0.0177,0.0025
0.6619,0.3885,0.0549,0.9936,0.0177,0.0025
0.5624,0.3893,0.0551,0.9936,0.0177,0.0025
0.5956,0.3944,0.0558,0.9936,0.0177,0.0025
0.6058,0.3919,0.0554,0.9936,0.0177,0.0025
0.6273,0.3832,0.0542,0.9936,0.0177,0.0025
0.6456,0.3834,0.0542,0.9936,0.0177,0.0025
0.6338,0.3830,0.0542,0.9936,0.0177,0.0025
0.6425,0.3789,0.0536,0.9936,0.0177,0.0025
0.6374,0.3797,0.0537,0.9936,0.0177,0.0025
0.6602,0.3772,0.0533,0.9936,0.0177,0.0025
0.5823,0.3954,0.0559,0.9936,0.0177,0.0025
0.5893,0.3966,0.0561,0.9936,0.0177,0.0025
0.5701,0.3992,0.0565,0.9936,0.0177,0.0025
0.5083,0.3780,0.0535,0.9936,0.0177,0.0025
0.5844,0.3751,0.0530,0.9936,0.0177,0.0025
0.6409,0.3829,0.0541,0.9936,0.0177,0.0025
0.6778,0.3802,0.0538,0.9936,0.0177,0.0025
0.6903,0.3706,0.0524,0.9936,0.0177,0.0025
0.6914,0.3779,0.0534,0.9936,0.0177,0.0025
0.5596,0.3862,0.0546,0.9936,0.0177,0.0025
0.6449,0.3928,0.0556,0.9936,0.0177,0.0025
0.5742,0.3982,0.0563,0.9936,0.0177,0.0025
0.6222,0.3905,0.0552,0.9936,0.0177,0.0025
0.6355,0.3873,0.0548,0.9936,0.0177,0.0025
0.6295,0.3894,0.0551,0.9936,0.0177,0.0025
0.6228,0.3951,0.0559,0.9936,0.0177,0.0025
0.5699,0.3895,0.0551,0.9936,0.0177,0.0025
0.6049,0.3894,0.0551,0.9936,0.0177,0.0025
0.5898,0.3831,0.0542,0.9936,0.0177,0.0025
0.6221,0.3952,0.0559,0.9936,0.0177,0.0025
0.6144,0.3795,0.0537,0.9936,0.0177,0.0025
0.6414,0.3880,0.0549,0.9936,0.0177,0.0025
0.6738,0.3878,0.0548,0.9936,0.0177,0.0025
0.6000,0.3847,0.0544,0.9936,0.0177,0.0025
0.6402,0.3860,0.0546,0.9936,0.0177,0.0025
0.5916,0.3898,0.0551,0.9936,0.0177,0.0025
0.6538,0.3835,0.0542,0.9936,0.0177,0.0025
0.6183,0.4020,0.0568,0.9936,0.0177,0.0025
0.6703,0.3640,0.0515,0.9936,0.0177,0.0025
0.5612,0.3869,0.0547,0.9936,0.0177,0.0025
0.5702,0.3804,0.0538,0.9936,0.0177,0.0025
0.6023,0.3706,0.0524,0.9936,0.0177,0.0025
0.6534,0.3779,0.0534,0.9936,0.0177,0.0025
0.6242,0.3843,0.0543,0.9936,0.0177,0.0025
0.6638,0.3839,0.0543,0.9936,0.0177,0.0025
0.5878,0.3741,0.0529,0.9936,0.0177,0.0025
0.5895,0.3875,0.0548,0.9936,0.0177,0.0025
0.6050,0.3866,0.0547,0.9936,0.0177,0.0025
0.6574,0.3788,0.0536,0.9936,0.0177,0.0025
0.6419,0.3824,0.0541,0.9936,0.0177,0.0025
0.6737,0.3751,0.0530,0.9936,0.0177,0.0025
0.6583,0.3884,0.0549,0.9936,0.0177,0.0025
0.6069,0.3941,0.0557,0.9936,0.0177,0.0025
0.6277,0.3902,0.0552,0.9936,0.0177,0.0025
0.6085,0.3878,0.0548,0.9936,0.0177,0.0025
0.6681,0.3870,0.0547,0.9936,0.0177,0.0025
0.5672,0.3936,0.0557,0.9936,0.0177,0.0025
0.5870,0.3826,0.0541,0.9936,0.0177,0.0025
0.6671,0.3803,0.0538,0.9936,0.0177,0.0025
0.6398,0.3972,0.0562,0.9936,0.0177,0.0025
0.6239,0.3836,0.0543,0.9936,0.0177,0.0025
0.6314,0.3923,0.0555,0.9936,0.0177,0.0025
0.6444,0.3767,0.0533,0.9936,0.0177,0.0025
0.6109,0.3885,0.0549,0.9936,0.0177,0.0025
0.6520,0.3945,0.0558,0.9936,0.0177,0.0025
0.6910,0.3837,0.0543,0.9936,0.0177,0.0025
0.5718,0.3965,0.0561,0.9936,0.0177,0.0025
0.6568,0.3781,0.0535,0.9936,0.0177,0.0025
0.5975,0.4023,0.0569,0.9936,0.0177,0.0025
0.6281,0.3898,0.0551,0.9936,0.0177,0.0025
0.5746,0.3776,0.0534,0.9936,0.0177,0.0025
0.6055,0.4002,0.0566,0.9936,0.0177,0.0025
0.6306,0.3982,0.0563,0.9936,0.0177,0.0025
0.6313,0.3854,0.0545,0.9936,0.0177,0.0025
0.6050,0.3808,0.0538,0.9936,0.0177,0.0025
0.6301,0.3984,0.0563,0.9936,0.0177,0.0025
0.6645,0.3854,0.0545,0.9936,0.0177,0.0025
0.5867,0.3906,0.0552,0.9936,0.0177,0.0025
0.5897,0.3938,0.0557,0.9936,0.0177,0.0025
0.6320,0.3899,0.0551,0.9936,0.0177,0.0025
0.5452,0.3833,0.0542,0.9936,0.0177,0.0025
0.6315,0.3841,0.0543,0.9936,0.0177,0.0025
0.6526,0.3869,0.0547,0.9936,0.0177,0.0025
0.5648,0.3999,0.0566,0.9936,0.0177,0.0025
0.6594,0.3932,0.0556,0.9936,0.0177,0.0025
0.6879,0.3943,0.0558,0.9936,0.0177,0.0025
0.6494,0.3944,0.0558,0.9936,0.0177,0.0025
0.6607,0.3863,0.0546,0.9936,0.0177,0.0025
0.6371,0.3851,0.0545,0.9936,0.0177,0.0025
0.6547,0.3827,0.0541,0.9936,0.0177,0.0025
0.6115,0.4023,0.0569,0.9936,0.0177,0.0025
0.6988,0.3785,0.0535,0.9936,0.0177,0.0025
0.5841,0.4016,0.0568,0.9936,0.0177,0.0025
0.6931,0.3906,0.0552,0.9936,0.0177,0.0025
0.6264,0.3888,0.0550,0.9936,0.0177,0.0025
0.5528,0.3943,0.0558,0.9936,0.0177,0.0025
0.6015,0.3879,0.0549,0.9936,0.0177,0.0025
0.5749,0.3874,0.0548,0.9936,0.0177,0.0025
0.5819,0.3961,0.0560,0.9936,0.0177,0.0025
0.6101,0.3907,0.0553,0.9936,0.0177,0.0025
0.6051,0.3901,0.0552,0.9936,0.0177,0.0025
0.4743,0.3646,0.0516,0.9936,0.0177,0.0025
0.6499,0.3941,0.0557,0.9936,0.0177,0.0025
0.5632,0.3927,0.0555,0.9936,0.0177,0.0025
0.6289,0.3935,0.0557,0.9936,0.0177,0.0025
0.5872,0.3990,0.0564,0.9936,0.0177,0.0025
0.5978,0.3927,0.0555,0.9936,0.0177,0.0025
