# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.1995,0.0637,0.0090,0.1995,0.0637,0.0090
0.3672,0.1777,0.0251,0.3687,0.1763,0.0249
0.5436,0.3191,0.0451,0.5596,0.3131,0.0443
0.5724,0.3237,0.0458,0.6786,0.3296,0.0466
0.7078,0.3291,0.0465,0.7794,0.3092,0.0437
0.6014,0.3233,0.0457,0.8161,0.2961,0.0419
0.6074,0.3240,0.0458,0.8161,0.2961,0.0419
0.5920,0.3274,0.0463,0.8161,0.2961,0.0419
0.6370,0.3347,0.0473,0.8294,0.2890,0.0409
0.6665,0.3326,0.0470,0.8427,0.2811,0.0397
0.6039,0.3214,0.0455,0.8427,0.2811,0.0397
0.5865,0.3165,0.0448,0.8427,0.2811,0.0397
0.6119,0.3209,0.0454,0.8462,0.2819,0.0399
0.6504,0.3323,0.0470,0.8462,0.2819,0.0399
0.6244,0.3314,0.0469,0.8578,0.2723,0.0385
0.5858,0.3152,0.0446,0.8578,0.2723,0.0385
0.5471,0.3078,0.0435,0.8578,0.2723,0.0385
0.6276,0.3315,0.0469,0.8578,0.2723,0.0385
0.6261,0.3272,0.0463,0.8578,0.2723,0.0385
0.6567,0.3323,0.0470,0.8596,0.2730,0.0386
0.6392,0.3229,0.0457,0.8596,0.2730,0.0386
0.6538,0.3343,0.0473,0.8596,0.2730,0.0386
0.5441,0.2987,0.0422,0.8596,0.2730,0.0386
0.6572,0.3237,0.0458,0.8596,0.2730,0.0386
0.6333,0.3283,0.0464,0.8596,0.2730,0.0386
0.6204,0.3218,0.0455,0.8729,0.2630,0.0372
0.6249,0.3206,0.0453,0.8729,0.2630,0.0372
0.6045,0.3093,0.0437,0.8729,0.2630,0.0372
0.5992,0.3170,0.0448,0.8729,0.2630,0.0372
0.5733,0.3235,0.0457,0.8729,0.2630,0.0372
0.6770,0.3222,0.0456,0.8859,0.2519,0.0356
0.5737,0.3143,0.0444,0.8859,0.2519,0.0356
0.6703,0.3247,0.0459,0.8869,0.2494,0.0353
0.6374,0.3108,0.0440,0.8869,0.2494,0.0353
0.6648,0.3311,0.0468,0.8869,0.2494,0.0353
0.6230,0.3256,0.0460,0.8873,0.2483,0.0351
0.5962,0.3260,0.0461,0.8873,0.2483,0.0351
0.6223,0.3251,0.0460,0.8873,0.2483,0.0351
0.6214,0.3204,0.0453,0.8873,0.2483,0.0351
0.6569,0.3301,0.0467,0.8873,0.2483,0.0351
0.6025,0.3255,0.0460,0.8873,0.2483,0.0351
0.6174,0.3270,0.0462,0.8873,0.2483,0.0351
0.6538,0.3364,0.0476,0.8873,0.2483,0.0351
0.6549,0.3269,0.0462,0.8873,0.2483,0.0351
0.6636,0.3188,0.0451,0.8873,0.2483,0.0351
0.6452,0.3251,0.0460,0.8873,0.2483,0.0351
0.6529,0.3349,0.0474,0.8873,0.2483,0.0351
0.5610,0.3096,0.0438,0.8873,0.2483,0.0351
0.6418,0.3349,0.0474,0.8873,0.2483,0.0351
0.5776,0.3110,0.0440,0.8873,0.2483,0.0351
0.6631,0.3276,0.0463,0.8873,0.2483,0.0351
0.7042,0.3245,0.0459,0.8873,0.2483,0.0351
0.5843,0.3194,0.0452,0.8873,0.2483,0.0351
0.6524,0.3286,0.0465,0.8873,0.2483,0.0351
0.6141,0.3219,0.0455,0.8873,0.2483,0.0351
