# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0328,0.0498,0.0070,0.0328,0.0498,0.0070
0.1214,0.1301,0.0184,0.1376,0.1208,0.0171
0.1555,0.2760,0.0390,0.2265,0.2581,0.0365
0.2450,0.3288,0.0465,0.3338,0.3345,0.0473
0.2872,0.3806,0.0538,0.4142,0.3775,0.0534
0.2539,0.3364,0.0476,0.4404,0.3794,0.0536
0.2721,0.3441,0.0487,0.4604,0.3852,0.0545
0.2425,0.3339,0.0472,0.5002,0.3874,0.0548
0.2296,0.2939,0.0416,0.5002,0.3874,0.0548
0.3320,0.3838,0.0543,0.5178,0.3865,0.0547
0.3282,0.3986,0.0564,0.5285,0.3785,0.0535
0.3192,0.3683,0.0521,0.5303,0.3784,0.0535
0.3110,0.3695,0.0523,0.5499,0.3765,0.0533
0.3108,0.3685,0.0521,0.5541,0.3776,0.0534
0.3677,0.3894,0.0551,0.5541,0.3776,0.0534
0.3479,0.3878,0.0548,0.5691,0.3801,0.0538
0.3690,0.4225,0.0597,0.5878,0.3821,0.0540
0.2881,0.3766,0.0533,0.5878,0.3821,0.0540
0.3370,0.3907,0.0552,0.5921,0.3769,0.0533
0.3311,0.4001,0.0566,0.6071,0.3779,0.0534
0.3536,0.4004,0.0566,0.6074,0.3782,0.0535
0.3553,0.3902,0.0552,0.6074,0.3782,0.0535
0.3543,0.4002,0.0566,0.6229,0.3746,0.0530
0.3586,0.4007,0.0567,0.6271,0.3693,0.0522
0.3282,0.3623,0.0512,0.6271,0.3693,0.0522
0.3099,0.3548,0.0502,0.6271,0.3693,0.0522
0.4162,0.4055,0.0574,0.6296,0.3670,0.0519
0.3600,0.3826,0.0541,0.6325,0.3661,0.0518
0.4024,0.4251,0.0601,0.6325,0.3661,0.0518
0.3672,0.3985,0.0564,0.6325,0.3661,0.0518
0.3587,0.3733,0.0528,0.6333,0.3653,0.0517
0.3220,0.3862,0.0546,0.6347,0.3653,0.0517
0.3063,0.3571,0.0505,0.6347,0.3653,0.0517
0.3390,0.3757,0.0531,0.6347,0.3653,0.0517
0.3009,0.3610,0.0511,0.6347,0.3653,0.0517
0.3709,0.4141,0.0586,0.6347,0.3653,0.0517
0.3235,0.3830,0.0542,0.6355,0.3644,0.0515
0.3608,0.4143,0.0586,0.6355,0.3644,0.0515
0.3131,0.3272,0.0463,0.6404,0.3664,0.0518
0.3862,0.4144,0.0586,0.6404,0.3664,0.0518
0.3262,0.3803,0.0538,0.6554,0.3654,0.0517
0.3890,0.4085,0.0578,0.6554,0.3654,0.0517
0.3540,0.4076,0.0576,0.6554,0.3654,0.0517
