# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0504,0.0574,0.0081,0.0504,0.0574,0.0081
0.0912,0.0657,0.0093,0.1086,0.0557,0.0079
0.1247,0.1654,0.0234,0.1640,0.1478,0.0209
0.1248,0.2002,0.0283,0.1817,0.1817,0.0257
0.1293,0.2034,0.0288,0.2011,0.1779,0.0252
0.1503,0.1977,0.0280,0.2181,0.1725,0.0244
0.1476,0.2414,0.0341,0.2420,0.2069,0.0293
0.1135,0.1075,0.0152,0.2506,0.2064,0.0292
0.1573,0.2066,0.0292,0.2506,0.2064,0.0292
0.1144,0.2025,0.0286,0.2523,0.2057,0.0291
0.1346,0.2077,0.0294,0.2582,0.2043,0.0289
0.1438,0.1997,0.0282,0.2599,0.2036,0.0288
0.1510,0.2016,0.0285,0.2625,0.2026,0.0286
0.1236,0.1618,0.0229,0.2653,0.2017,0.0285
0.1271,0.2050,0.0290,0.2654,0.2017,0.0285
0.1528,0.2390,0.0338,0.2683,0.2001,0.0283
0.1060,0.1091,0.0154,0.2733,0.1974,0.0279
0.1374,0.2342,0.0331,0.2733,0.1974,0.0279
0.1632,0.2111,0.0299,0.2758,0.1963,0.0278
0.1360,0.1656,0.0234,0.2758,0.1963,0.0278
0.1230,0.1083,0.0153,0.2784,0.1952,0.0276
0.1622,0.2344,0.0332,0.2796,0.1952,0.0276
0.1447,0.2093,0.0296,0.2868,0.1973,0.0279
0.1958,0.2525,0.0357,0.3126,0.2261,0.0320
0.1338,0.1658,0.0235,0.3151,0.2247,0.0318
0.1189,0.1895,0.0268,0.3236,0.2367,0.0335
0.1554,0.2419,0.0342,0.3236,0.2367,0.0335
0.1385,0.1942,0.0275,0.3236,0.2367,0.0335
0.1564,0.2364,0.0334,0.3253,0.2406,0.0340
0.1375,0.2117,0.0299,0.3253,0.2406,0.0340
0.1545,0.1855,0.0262,0.3255,0.2410,0.0341
0.1611,0.2318,0.0328,0.3255,0.2410,0.0341
0.1246,0.2020,0.0286,0.3255,0.2410,0.0341
0.1832,0.2368,0.0335,0.3265,0.2404,0.0340
0.1211,0.1592,0.0225,0.3265,0.2404,0.0340
0.1328,0.1712,0.0242,0.3266,0.2403,0.0340
0.1471,0.2022,0.0286,0.3266,0.2403,0.0340
0.1557,0.2412,0.0341,0.3291,0.2415,0.0342
0.1221,0.1600,0.0226,0.3291,0.2415,0.0342
0.1225,0.1590,0.0225,0.3291,0.2415,0.0342
0.1572,0.2148,0.0304,0.3382,0.2427,0.0343
0.1435,0.1570,0.0222,0.3391,0.2422,0.0342
0.1580,0.2035,0.0288,0.3391,0.2422,0.0342
0.1616,0.1817,0.0257,0.3409,0.2409,0.0341
0.1802,0.2458,0.0348,0.3476,0.2477,0.0350
0.1726,0.2364,0.0334,0.3476,0.2477,0.0350
0.1436,0.2073,0.0293,0.3476,0.2477,0.0350
0.1271,0.2037,0.0288,0.3476,0.2477,0.0350
0.1584,0.2365,0.0334,0.3476,0.2477,0.0350
0.1631,0.2301,0.0325,0.3608,0.2594,0.0367
0.1508,0.2378,0.0336,0.3608,0.2594,0.0367
