# Mean fitness, Standard deviation of fitness, Standard error of the mean fitness, Mean best fitness, Standard deviation of best fitness, Standard error of the mean best fitness
0.0986,0.0060,0.0008,0.0986,0.0060,0.0008
0.1885,0.1508,0.0213,0.1887,0.1508,0.0213
0.4306,0.3784,0.0535,0.4530,0.3678,0.0520
0.4664,0.3812,0.0539,0.5277,0.3843,0.0544
0.4404,0.3853,0.0545,0.5277,0.3843,0.0544
0.4236,0.3673,0.0519,0.5621,0.3865,0.0547
0.4978,0.3950,0.0559,0.5890,0.3887,0.0550
0.4411,0.3846,0.0544,0.6050,0.3888,0.0550
0.5055,0.4054,0.0573,0.6219,0.3872,0.0548
0.4370,0.3676,0.0520,0.6232,0.3857,0.0545
0.4783,0.3942,0.0558,0.6391,0.3838,0.0543
0.4721,0.3904,0.0552,0.6391,0.3838,0.0543
0.4454,0.3823,0.0541,0.6411,0.3812,0.0539
0.4942,0.3998,0.0565,0.6439,0.3796,0.0537
0.4707,0.3844,0.0544,0.6445,0.3790,0.0536
0.4880,0.3957,0.0560,0.6445,0.3790,0.0536
0.4592,0.3808,0.0539,0.6445,0.3790,0.0536
0.4601,0.3915,0.0554,0.6445,0.3790,0.0536
0.4674,0.4012,0.0567,0.6445,0.3790,0.0536
0.4803,0.3984,0.0563,0.6446,0.3789,0.0536
0.5307,0.4067,0.0575,0.6481,0.3756,0.0531
0.4816,0.4014,0.0568,0.6482,0.3756,0.0531
0.5030,0.3958,0.0560,0.6607,0.3758,0.0532
0.5103,0.3995,0.0565,0.6607,0.3758,0.0531
0.5212,0.4023,0.0569,0.6618,0.3750,0.0530
0.5214,0.4030,0.0570,0.6717,0.3772,0.0533
0.4876,0.3962,0.0560,0.6796,0.3763,0.0532
0.4830,0.3969,0.0561,0.6796,0.3763,0.0532
0.5150,0.4001,0.0566,0.6796,0.3763,0.0532
0.4825,0.4080,0.0577,0.6796,0.3763,0.0532
0.5357,0.4033,0.0570,0.6796,0.3763,0.0532
0.4930,0.4007,0.0567,0.6796,0.3763,0.0532
0.5219,0.3921,0.0554,0.6796,0.3763,0.0532
0.4749,0.3953,0.0559,0.6803,0.3755,0.0531
0.5023,0.3968,0.0561,0.6839,0.3718,0.0526
0.4977,0.4024,0.0569,0.6839,0.3718,0.0526
0.5309,0.4153,0.0587,0.6839,0.3718,0.0526
0.4984,0.3969,0.0561,0.6839,0.3718,0.0526
0.4632,0.3893,0.0551,0.6839,0.3718,0.0526
0.5767,0.4070,0.0576,0.6984,0.3673,0.0519
0.4719,0.3879,0.0549,0.6984,0.3673,0.0519
0.4817,0.3954,0.0559,0.6984,0.3673,0.0519
0.5071,0.3933,0.0556,0.6984,0.3673,0.0519
